id|title|starring|writer|editor
3154|Office Killer|Jeanne Tripplehorn|Todd Haynes|
3155||Peter Gallagher|Steven Haft|
3156|Andarivaadu|Konidela Siva Sankara Vara Prasad|Srinu Vytla|
3157|Mad at the Moon|Hart Matthew Bochner||
3158|Tarnation|Jonathan Caouette Renee LeBlanc Rosemary Davis Adolph Davis David Sanin Paz|Jonathan Caouette|
3159||Stacey Edmonds|Doug Turner|
3160||Nasir Khan|Deewan Sardari Laal|
3161||Shane Macomber, Dave Overman, Paul Vorvick, Fern Zimmerman,  and Rebecca McNamee as The Strega||
3162||Memo Benassi|Curt Alexander|
3163|Bedknobs and Broomsticks|David Cecil MacAlister Tomlinson|Mary Norton (author)|
3164|Top Gun|Thomas Cruise Mapother IV|Jim Cash|
3165|Punchline|John Stephen Goodman|David Seltzer|
3166|Ghosts of Abu Ghraib||Jack Youngelson|
3167|Na svoji zemlji|Lojze Potokar|Ciril Kosma?|
3168||Joey Wong||
3169|The Skeleton Key|Joy Bryant|Ehren Kruger|
3170|Laser Mission|Debi A. Monahan|David A. Frank|
3171||Anne Celeste Heche|Michael Browning|
3172|First Knight|Thomas Sean Connery|William Nicholson|
3173||Eugene Lockhart||
3174||Nutan Samarth|A Mullapudi|
3175|Bend It Like Beckham|Shaznay Lewis|Gurinder Chadha|
3176|Aquamarine|Sara Paxton|John Quaintance|
3177|Darna Zaroori Hai|Bipasha Basu|Ram Gopal Varma|
3178||Veronica Garcia|Marshall Hicks|
3179||Chika Sakamoto|Miwa Kawasaki|
3180|This Day and Age|LeRoy Melvin Radabaugh|Bartlett Cormack|
3181||Peter Coe (actor)|Leon Abrams|
3182|Barbary Coast|Emanuel Goldenberg|Charles MacArthur|
3183|Nanking|John Getz|Bill Guttentag Dan Sturman Elisabeth Bentley Bill Guttentag|
3184|Good Times|George Sanders (actor)|Tony Barrett</br>Nicholas Hymas|
3185|Hot Fuzz|Edward Woodward||
3186|A Special Day|Sofia Villani Scicolone|Maurizio Costanzo|
3187|Varsity Blues|James William Van Der Beek, Jr.|W. Peter Iliff|
3188|Ryan|Ryan Larkin||
3189|The Pacifier|Brittany Anne Snow|Thomas Lennon|
3190||Richard Brewster|Ray Ashley Morris Engel Ruth Orkin|
3191|The Raven|John Joseph Nicholson|Richard Matheson|
3192|The Mysterious Stranger|Oliver Hardy|Jess Robbins|
3193|Heaven|Antonino Giovanni Ribisi|Krzysztof Piesiewicz|
3194|So Runs the Way|Lillian Diana Gish|William Christy Cabanne|
3195|Love's Boomerang|Ann Kroman|Josephine Lovett|
3196||Saima|Nasir Adeeb|
3197|A Wish for Wings That Work|Robin McLaurim Williams|Berkeley Breathed|
3198|The Silver Chalice|Virginia Clara Jones|Thomas B. Costain|
3199||Wilton Graff|Ralph Brooke|
3200|The Shadow|Penelope Ann Miller|David Koepp|
3201||Michael Dudikoff|Gideon Amir|
3202|Dawn Anna|Mary Debra Winger|Robert Munic|
3203|Practically Yours|Lily Claudette Chauchoin|Norman Krasna|
3204|A Hard Day's Night|George Harrison|Alun Owen|
3205|Pretty Woman|Julie Fiona Roberts|J.F. Lawton|
3206|Saturno contro|Ambra Angiolini|Ferzan u00D6zpetek Gianni Romoli|
3207|Battle Circus|Francis Xavier Aloysius James Jeremiah Keenan Wynn|Richard Brooks Allen Rivkin Laura Kerr|
3208|Che Si Shi Si|Gong Beibi||
3209||Michael Kirk Douglas|Ed Solomon|
3210|Luke Laughs Last|Harold Lloyd||
3211|Destination Gobi|Don Taylor (actor)|Everett Freeman|
3212|30 Days of Night|Joshua Daniel Hartnett|Steve Niles|
3213||Imogen Church|Michael Bartlett|
3214|The Captive|Sarah Blanche Sweet|Cecil Blount DeMille|
3215|Santo Contra los Zombis|Jaime Fern?ndez|Antonio Orellana|
3216|The Schemers|Oliver Hardy||
3217|MVP: Most Valuable Primate|Jane Sowerby|Robert Vince|
3218||Lorna Tolentino Ricky Davao   Gary Valenciano||
3219|||Joe Bolster|
3220|La Fille Seule|Virginie Ledoyen|Beno?t Jacquot|
3221|About Schmidt|Hope Davis|Louis Begley|
3222||Reika Kirishima|Kenji Uchida|
3223|The Woman in the Window|Raymond Hart Massey|J. H. Wallis|
3224||Michael V. Gazzo|Mario Puzo|
3225|The Boogeyman|Suzanna Love|Ulli Lommel|
3226||Edward Ernest Reinhold Jr.|Del Shores|
3227|Blue|Konishi Manami|Yuka Honcho|
3228|Happily Ever After|Alain Cohen|Yvan Attal|
3229|Poku00E9mon: Mewtwo Returns|Amy Birnbaum|Hideki Sonoda|
3230|Two Can Play That Game|Morris Chestnut|Mark Brown|
3231|The Rookie|Sonia Braga|Scott Spiegel|
3232|The Stolen Bride|Henry DeWitt Carey II|Kate McCabe|
3233||Lalita Rani||
3234||William Redfield|Bo Goldman|
3235||Cort Donovan||
3236||Mallika||
3237||Gary Alan Sinise|Scott Rosenberg|
3238||Kamal Haasan||
3239|Wifemistress|Marcello Vincenzo Domenico Mastroianni|Rodolfo Sonego Marco Vicario|
3240||Chips Rafferty|Evan Jones|
3241|Novel Appeal|John Hoysradt|Zoe Akins|
3242|Palme d'Or|Uma Karuna Thurman|Quentin Jerome Tarantino|
3243||Amjad Khan||
3244||Christina Applegate|Jean-Marie Poir?|
3245||Taran Killam|Amy Engelberg|
3246|Abdulla the Great|Sydney Earle Chaplin|Boris Ingster  George St. George  Ismet Regeila (novel)|
3247||Kathleen Doyle Bates||
3248|Robocop theme|Nancy Anne Allen|Edward Neumeier|
3249|SPL: Sha Po Lang|Donnie Yen|Szeto Kam-Yuen|
3250|6ixtynin9|u0E25u0E25u0E34u0E15u0E32 u0E1Bu0E31u0E0Du0E42u0E0Du0E20u0E32u0E2A|Pen-Ek Ratanaruang|
3251|Huevos de oro|Maria de Medeiros|Cuca Canals|
3252|Cover-Up|Dennis O'Keefe|Dennis O'Keefe|
3253||Tiffany Barrett   Perry Cornelius   Marilyn Johnson   Brittney Kara   Andrew Laurich|Steve Niles|
3254|The Juror|Anne Celeste Heche|Ted Tally|
3255|||Peter Barsocchini|
3256||u6797u5609u6B23|Sin Ling Yeung|
3257|The 39 Steps|Edith Margaret Emily Ashcroft|Charles Bennett (screenwriter)|
3258||Richard Newman||
3259|The Man Who Loved Women|Kimila Ann Basinger|William Blake Crump|
3260|Smiles of a Summer Night|Ulla Jacobsson|Ernst Ingmar Bergman|
3261||Manju Bhargavi|Dr.K.Viswanath|
3262|Pontormo|Vernon Dobtcheff|Marilisa Cal?|
3263||Faten Ahmed Hamama|Ezzel Dine Zulficar Yussef Issa|
3264||Katherine Kiernan Mulgrew|Stu Silver|
3265|Boa vs. Python|Angel Boris|Chase Parker   Sam Wells|
3266||William Davis Garwood Jr.||
3267||James Howard Woods|Richard Boyle|
3268|It Is Fine. Everything Is Fine!|Crispin Hellion Glover|Steven C. Stewart|
3269||Luca Perlman|Betty Quan|
3270|High School Musical 2|Zac Efron|Peter Barsocchini|
3271|The Trail of '98|Henry DeWitt Carey II|Benjamin Glazer|
3272|Blood of Dracula's Castle|Paula Ramona Wright|Rex Carlton|
3273|A Man and a Woman|Jean-Louis Trintignant|Pierre Uytterhoeven|
3274||Genevi?ve Bujold|Alan Rudolph|
3275|La vida por delante|Anal?a Gad?|Manuel Pilares|
3276|Fritz Hippler|||
3277||Salman Khan|Rajkumar Santoshi|
3278||Virginia Pound|Betty Burbridge|
3279|Fille du peuple|Charles de Rochefort||
3280|Stealing Home|Harold Ramis|Steven Kampmann William Porter|
3281|The Rain People|James Langston Edmund Caan|Francis Ford Coppola|
3282|Leonard Part 6|Moses Gunn|Jonathan Reynolds|
3283|The Spanish Main|Walter Slezak|Aeneas MacKenzie|
3284|C?sar Award for Best Film|Jean-Pierre Marielle|Alain Corneau|
3285||Ramakrishna (actor)||
3286||Leon Schuster|Leon Schuster|
3287||Jason Christopher Marsden|Brian Pimental|
3288|The Prisoner of Zenda|Douglas Fairbanks Jr.|John L. Balderston|
3289|Stage Beauty|William Crudup|Jeffrey Hatcher|
3290||Thomas George Bell|Christopher Neame (writer/producer)|
3291|The Man Who Wasn't There|Steven Robert Guttenberg|Stanford Sherman|
3292||Craig Sheffer|Bradley White|
3293|Stolen Summer|Bonnie Lynn Hunt|Pete Jones|
3294|Coast to Coast|Robert Blake (actor)|Stanley Weiser|
3295|Ek Chalis Ki Last Local|Abhay Singh Deol|Sanjay Khanduri|
3296||Peggy Shannon|Josephine Lovett|
3297||Bipasha Basu||
3298||Vineeth||
3299||Claire Trevor|George Callahan|
3300|Partner|Salman Khan|David Dhawan|
3301|Scrooge|Michael Medwin|Leslie Bricusse|
3302|High Sierra|John Arthur Kennedy|W.R. Burnett|
3303|Minna no Ie|Naoki Tanaka|Koki Mitani|
3304|Alles is liefde|Daan Schuurmans|Kim van Kooten|
3305|Entrentien sur Pascal|Brice Parain||
3306|In the Bedroom|Nicolas Kent Stahl|Andre Dubus|
3307|The Execution of Mary Stuart|Robert Thomae||
3308|Dad's Army|Arnold Ridley|David Croft|
3309|Surveillance|Julia Karin Ormond|Jennifer Chambers Lynch|
3310|||Alan Passes|
3311|Enemies: A Love Story|Lena Maria Jonna Olin|Roger L. Simon|
3312|Have Dreams, Will Travel|Matthew Avery Modine|Brad Isaacs|
3313|||Norberto Aroldi|
3314|Night Mail||W.H. Auden|
3315||Marilyn Louis|Casey Robinson|
3316||Sylvia Miles|Stewart Stern|
3317|The Rookie|Brian Cox|Mike Rich|
3318|||Mario Lima|
3319|Hostage|Kevin Pollak|Robert Crais|
3320||Dominick DeLuise|Ezio Greggio|
3321|You Got Served|Tanee McCall|Chris Stokes|
3322||Harry von Meter||
3323||Janus Blythe|Wes Craven|
3324||Brian Greer|Roger Ingraham|
3325||Rajmonda Bullku|Ismail Kadare|
3326|Golden Globe Award for Best Motion Picture - Musical or Comedy|Harrison Ford|Kevin Wade|
3327||Elisabeth Shue|Davis Guggenheim|
3328|Los Sin nombre|Tristan Ulloa|Jaume Balaguer?|
3329|Splitting Heirs|Catherine Jones|Eric Idle|
3330|Over the Hedge|William Shatner|Len Blum and Karey Kirkbatrick|
3331|Scared to Death|Bu00E9la Ferenc Dezsu0151 Blasku00F3|W.J. Abbott|
3332|Crazy Eights|Dina Meyer|Ji-un Kwon|
3333|Malcolm|Lindy Davies|David Parker|
3334|The Silent Partner|Arthur Christopher Orme Plummer|Curtis Lee Hanson|
3335|Safe in Jail|Roscoe Arbuckle||
3336||Philip Anthony Hopkins|Peter Prince|
3337|Chaos Theory|Ryan Rodney Reynolds|Daniel Taplitz|
3338|Alam Ara|Prithviraj Kapoor|Joseph David|
3339||Carlos Gallardo|Robert Rodriguez|
3340|Beast from Haunted Cave|Gerald Michael Charlebois|Charles B. Griffith|
3341|The Yards|Mark Wahlberg|Matt Reeves|
3342||Alexander Kalyagin|Yuriy Norshteyn|
3343|Happily Ever After|Dominick DeLuise|Martha Moran|
3344||Lia Franca|Mario Soldati|
3345||Jan-Michael Vincent|George Armitage|
3346|Amor prohibido||Ulises Petit de Murat|
3347|The Day After Tomorrow|Jay O. Sanders|Roland Emmerich|
3348|Listen Lena|Lucille Hutton||
3349|Beach Party|Charles Clarence Robert Orville Cummings|Lou Rusoff|
3350|Nijam|Mahesh Babu|Teja|
3351|Filmfare Best Movie Award|Mumtaz Begum Jehan Dehlavi|Kamal Amrohi|
3352||Jason McCaslin||
3353|How to Murder Your Wife|Claire Trevor|George Axelrod|
3354|Eating Out 2|Jim Verraros|Q. Allan Brocka|
3355|Vincent||Tim Burton|
3356|Donovan's Brain|Lewis Frederick Ayre III|Felix E. Feist|
3357||Sridevi||
3358|The Musketeer|Catherine Fabienne Dorlu00E9ac|Gene Quintano|
3359||Paquito Busto|Claudio Mart?nez Payva|
3360||Verna Felton|Daniel Taradash|
3361|After the Wedding|Sidse Babett Knudsen|Susanne Bier|
3362|When the Ham Turned|Eldon Raymond McKee|Arthur Hotaling|
3363|Orion's Cloud|Mike Balmer|Mike Balmer|
3364||James Neil Hamilton|Edward T. Lowe Jr.|
3365||Shilpa Shetty|Rumi Jaffery|
3366|Vili, a veru00E9b|Barta Heiner||
3367||Mimi Kozakura|Kazuo Komizu|
3368|Dead or Alive|Riki Takeuchi|Ichiro Ryu|
3369|Ice Age 3|Dana Elaine Owens|Michael Berg Peter Ackerman|
3370||Vivek Anand Oberoi|Sujoy Ghosh|
3371|Blow Out|Nancy Anne Allen|Brian De Palma|
3372||Eddie Murphy|Bill Corbett|
3373|Copycat|Harry Connick, Jr.|Ann Biderman|
3374|Under the Tuscan Sun|Sandra Oh|Audrey Wells|
3375||Rachel Blanchard|David Dalessandro|
3376|Asignatura pendiente|Fiorella Faltoyano|Jos? Mar?a Gonz?lez Sinde|
3377|List of Sundance Film Festival award winners|Wendell B. Harris Jr.|Wendell B. Harris Jr.|
3378|The Ring|Amber Rose Tamblyn|K?ji Suzuki|
3379|20 Million Miles to Earth|William Hopper|Bob Williams|
3380|Intolerance: Love's Struggle Through the Ages|Mae Marsh||
3381|Jamaica Inn|Emlyn Williams|Alma Lucy Reville|
3382||Alexander Draper Wolff|Polly Draper|
3383|En la ciudad|Chisco Amado|Tom?s Aragay|
3384||Joseph Frank Keaton VI|Jean C. Havez|Joseph Frank Keaton VI
3385|O Casamento de Romeu e Julieta|Mel Lisboa|Jandira Martini|
3386||Bruno Giovanni Quidaciolu, Jr.|Monica Mcgowan Johnson|
3387|Tales from the Crypt Presents Demon Knight|The Crypt Keeper|Cyrus Voris|
3388|The Four Musketeers|Frank Finlay|George MacDonald Fraser|
3389|The Eye|Chutcha Rujinanon|Oxide Pang Chun (u5F6Du9806) Danny Pang Fat (u5F6Du767C)|
3390|Monster Dog|Victoria Vega|Claudio Fragasso|
3391||Josh Adamson|Rich Christiano|
3392||Robert Devau|Larry Blamire|
3393||Bill Rogers (voice actor)|Hideki Sonoda|
3394|Grizzly|Christopher John George|Harvey Flaxman, David Sheldon|
3395||Takanari Saito|Takashi Koizumi|
3396|Grizzly Rage|Brody Harms|Arne Olsen|
3397||Jatin Khanna||
3398|Hei yan quan|Chen Shiang-chyi|Tsai Ming-liang|
3399||Sue Lyon|Guy Owen|
3400|Gremlins 2: The New Batch|John Soursby Glover, Jr.|Charles S. Haas|
3401|You'll Never Get Rich|Frederick Austerlitz Jr.|Michael Fessier Ernest Pagano|
3402|Rob Roy|Andrew Buggy|Alan Sharp|
3403||Laurence John Fishburne III|Nicholas St. John|
3404||Gina Philips|Victor Salva|
3405|Sky Captain and the World of Tomorrow|Angelina Jolie Voight|Kerry Conran|
3406|The Telltale Knife|Thomas Hezikiah Mix|Thomas Hezikiah Mix|
3407|Romancing the Stone|Michael Kirk Douglas|Diane Thomas|
3408|The Hunchback of Notre Dame|Lesley-Anne Down|John Gay|
3409|The Brothers Solomon|Harvey Lee Yeary|Will Forte|
3410||Hema Malini|Sachin Bhowmick|
3411|The Nuremberg Trials|||
3412||Amber Nicole Benson|Sean Keller|
3413||Gail Strickland|Jenny Wingfield|
3414||Adolphe Jean Menjou|Marie Corelli|
3415|Babes on Broadway|Frances Ethel Gumm|Fred F. Finklehoffe|
3416|Megiddo: The Omega Code 2|Michael Hugh Johnson|Stephan Blinn|
3417|Gallowwalker|Riley Bryant Smith|Joanne Reay|
3418||Faten Ahmed Hamama|Ali El Zorkani Helmy Halim|
3419|The Prophecy 3: The Ascent|Ronald Walken|Carl Dupr?|
3420||Kevin Coughlin|Abe Polsky|
3421|Goodbye, Dragon Inn|Kiyonobu Mitamura|Tsai Ming-liang|
3422|Lady for a Day|Mary Jeanette Robinson|Robert Riskin|
3423||Yumi Shirakawa|Takeshi Kimura|
3424|Extraordinary Rendition|Andy Serkis|Jim Threapleton (plot outline)|
3425|On Moonlight Bay|Doris Day|Jack Rose|
3426|The Riot|Roscoe Arbuckle||
3427|Raja Kumarudu|Mahesh Babu||
3428|The Black Cauldron|John Byner|Lloyd Alexander|
3429|Matango|Hiroshi Koizumi|Takeshi Kimura|
3430|Five Easy Pieces|Karen Blanche Ziegler|Bob Rafelson|
3431||Melyssa Ade|John Patus|
3432||John Paul Cusack|Stephen Katz|
3433||Justin Henry|Robert Douglas Benton|
3434|Blood in Blood Out|Delroy Lindo|Jimmy Santiago Baca|
3435|The Great Buck Howard|Emily Olivia L. Blunt|Sean McGinly|
3436||Stanley Holloway|David Lean|
3437|Highlander: Endgame|Christopher Lambert|William N. Panzer|
3438|Kicking the Germ Out of Germany|Harold Lloyd||
3439|Snegithiye|Jyothika||
3440||Danny Aiello|Larry Cohen|
3441|In the Time of the Butterflies|Demi?n Bichir|David Klass|
3442|God of Gamblers III: Back to Shanghai|Stephen Chow|Wong Jing|
3443|The Miniver Story|Eileen Evelyn Greer Garson|George Froeschel|
3444|Il Mare|Lee Jung-Jae|Kim Eun-Jeong|
3445|Camp Slaughter|Matthew Joseph Dallas|Draven Gonzalez|
3446|12 Horas|Charlie Masso|Ra?l Marchand S?nchez|
3447|Together|Liu Peiqi|Xue Xiaolu|
3448|Tiresia|Laurent Lucas|Bertrand Bonello|
3449||Jean Clarieux|Renu00E9 Clu00E9ment|
3450|Skylark|Alfred Reginald Jones|Allan Scott|
3451|The Blood of Jesus|Reather Hardeman|Spencer Williams, Jr.|
3452||Kullervo Kalske|Aarne Tarkas|
3453|Bill & Ted's Bogus Journey|Keanu Charles Reeves|Ed Solomon|
3454|Waterloo Bridge|Vivian Mary Hartley|S. N. Behrman|
3455|Mr. and Mrs. 55|Mumtaz Begum Jehan Dehlavi|Abrar Alvi|
3456|King of the Gypsies|Shirley Schrift|Peter Maas|
3457|The Big Blockade|Leslie Banks|Angus McPhail|
3458||Prem Chopra||
3459|The Opening of Misty Beethoven|Constance Money|Jake Barns|
3460|House of Usher|Vincent Leonard Price, Jr.|Richard Matheson|
3461||Asha Parekh|Sachin Bhowmick|
3462|De la coupe aux lu00E8vres|Paul Capellani|Guy du Fresnay|
3463|Exit Wounds|Steven Seagal|Ed Horowitz|
3464||Alla Demidova|Alexander Shlepyanov|
3465||John Brockman|Lutz Dammbeck|
3466||Harihar Jariwala||
3467||Laura Anne D'Ambruoso|George LaVoo|
3468|Clive of India|Ronald Charles Colman|R.J. Minney|
3469||Ronald Walken||
3470|Dunston Checks In|David Eric Lloyd Morelli|Bruce Graham (writer)|
3471|Brigadoon|Tula Ellice Finklea|Alan Jay Lerner|
3472||M?rta Tor?n|A.I. Bezzerides|
3473|The Ugly|Jennifer Ward-Lealand|Scott Reynolds|
3474||Sripriya||
3475|The Big Easy|John Stephen Goodman|Daniel Petrie Jr.|
3476||Mitchell Riggs|Anthony Leslie|
3477||Jill Clayburgh|Andrei Konchalovsky|
3478||Kevin McCarthy|Cornell Woolrich (novel) Maxwell Shane|
3479|A Kiss Before Dying|Sean Young|Ira Levin|
3480||Ahmad Nisfu|Teuku Zakaria|
3481||Internet Movie Database|Smurfs|
3482|Mimic 2|Will Estes Nipper|Joel Soisson|
3483||Sandra McCoy|Stephen Peters|
3484|A Face in the Crowd|Walter John Matthow|Budd Schulberg|
3485|1971|Ravi Kishan|Piyush Mishra|
3486||Henry Warren Beaty|Robert Carrington|
3487|Should Tall Men Marry?|Arthur Stanley Jefferson||
3488|Jane and the Lost City|Robin Bailey|Mervyn Haisman|
3489|Balto|Phil Collins|Roger Schulman|
3490|R.S.V.P.|Lucas Edwin Babin|Mark Anthony Galluzzo|
3491|The Strange Case of Dr. Jekyll and Mr. Hyde|Deborah Shelton|Robert Louis Stevenson|
3492|Roundhay Garden Scene|Adolphe Le Prince||
3493|The Green Years|Robert Dean Stockwell|A. J. Cronin|
3494|The Great Gatsby|William Horatio Powell||
3495|American History X|Edward Norton|David McKenna (writer)|
3496|Enter the Phoenix|u9673u5955u8FC5||
3497||Kathleen Morrison|Preston Sturges|
3498|Choose Your Own Adventure The Abominable Snowman||Shawn Tanaka and Doug Wood|
3499|Little Miss Marker|Shirley Jane Temple|William R. Lipman|
3500|Querelle|Roger Bataille|Kurt Raab|
3501|A Man to Remember|Lee Bowman|Dalton Trumbo|
3502||Daniel James Callum Blue|Trevor Todd|
3503|Twister|Alan Ruck|Anne-Marie Martin|
3504|Sa paraiso ni Efren|Anton Bernardo Allan Paule Anna Capri|Jun Lana|
3505||Elaine Hendrix|Andy Heyward|
3506||Harold Perrineau|Darnell Martin|
3507||Matt Miyahara|Chris Morrissey|
3508|Voyage in Time|Tonino Guerra Andrei Tarkovsky|Tonino Guerra Andrei Tarkovsky|
3509|La vida empieza a medianoche|Armando Calvo||
3510|Le ragazze di Piazza Spagna|Renato Salvatori|Fausto Tozzi|
3511||Katja Hannchen Leni Riemann|Margarethe von Trotta|
3512||George Orson Welles|George Orson Welles|
3513||Scatman Crothers|Orville H. Hampton|
3514|24 Hours on Craigslist|||
3515||Marjoe Gortner|Bert I. Gordon|
3516||Patharawarin Timkul|Chukiat Sakweerakul|
3517||Wings (band)||
3518||Charlotte Burke|Matthew Jacobs|
3519||William Auge Ghere|Tim Conway|
3520|R-Point|Jeon Kyeong-ho|Kong Su-chang|
3521|High Society|Frank Sinatra|Philip Barry|
3522|Ana y los lobos|Fernando Fern?n G?mez|Rafael Azcona|
3523|The Strange World of Planet X|Forrest Tucker, Gaby Andre, Alec Mango|Paul Ryder|
3524||Viggo Peter Mortensen Jr.|Joseph William Stefano|
3525|Imaginary Crimes|Kelly Colleen Lynch|Kristine Johnson|
3526||Ali|Dialogue|
3527||Charles Blavette|Andre Levert|
3528|Love Potion No. 9|Sandra Annette Bullock|Dale Launer|
3529||Veru00F3nica Judith Sainz Castro Alva  ''Personal Information''. Retrieved on 2007-07-24|Rafael Filipelli|
3530|Mission to Moscow|Oskar Homolka|Joseph E. Davies|
3531|Speed|Keanu Charles Reeves|Graham Yost|
3532|Norma Jean & Marilyn|Joshua Aaron Charles|Jill Isaacs|
3533|||Hisham Zreiq|
3534|Three Comrades|Robert Young|Edward E. Paramore Jr.|
3535||G?rard Desarthe|Addy Weijers|
3536|A Suspended Ordeal|Roscoe Arbuckle||
3537||Kim Sang Gyeong|Park Sang-yeon|
3538|BAFTA Award for Best British Film|Simone Renu00E9e Roussel|Graham Greene|
3539|||Jill Misquitta|
3540|Buddy Buddy|Walter John Matthow|I.A.L. Diamond|
3541|Fathers' Day|Julia Elizabeth Scarlett Louis-Dreyfus|Les Comp?res|
3542|Was tun, wenn's brennt?|Tilman Valentin Schweiger|Stefan D?hnert|
3543||Walter Davis Pidgeon|Henry Martyn Blossom|
3544||Alessandra Martines|Francesca Melandri Gianni Romoli|
3545|The Last Wave|George Richard Chamberlain|Peter Lindsay Weir|
3546||Dharmendra||
3547|Never Cry Wolf|Brian Manion Dennehy|Farley Mowat|
3548||Majlinda Agaj Piero Passatore Christopher Jones|Ted Nicolaou|
3549||Oliver Hardy||
3550|Kagemusha|Tatsuya Nakadai|Akira Kurosawa|
3551|Two Hands|Rose Judith Esther Byrne|Gregor Jordan|
3552||Kamal Haasan||
3553|||Martu00EDn Rejtman|
3554|Thirupathi|Ajith|Rumi Jaffery|
3555|Mama Flora's Family|Erika Alexander|Alex Haley|
3556||Elizabeth Perkins|Gary Ross|
3557|Salute to the Marines|Wallace Fitzgerald Beery||
3558||JC Mac|Chico Slimani|
3559|The Wash|Eminem|Mark Jordan|
3560|Night Train|Lucyna Winnicka|Jerzy Kawalerowicz Jerzy Lutowski|
3561|His Wife's Mistakes|Roscoe Arbuckle||
3562||Isabella Fiorella Elettra Giovanna Rossellini|Gavin Scott (Screenwriter)|
3563|Hard Days, Hard Nights|Tony Forsyth|Peter Turner Frank Gu00F6hre Horst Ku00F6nigstein|
3564|Age of Consent|Ilyena Vasilievna Mironov|Norman Lindsay|
3565|Death on the Nile|Lois Chiles|Anthony Shaffer|
3566|Fareb|Shamita Shetty|Girish Dhamija (dialogue) Bijesh Jayarajan (screenplay)|
3567|Brothers Five||Ni Kuang|
3568|Le Locataire|Bernard Fresson|Roman Polanski|
3569||Juan Moreno y Herrera Jimu00E9nez|Adam Brooks|
3570||Joseph Provenzano||
3571|Agua|Jimena Anganuzzi|Pablo Lago|
3572||Jean Rochefort|Jean Aurenche|
3573|Second-Hand|Mihai Cu0103lin Alexandra Dinu||
3574||Sa Bilis Walang Kaparis#Cast||
3575|Widows' Peak|Natasha Jane Richardson||
3576||Mario Montez||
3577||Anthony Wong Chau-Sang||
3578|Walk the Angry Beach|Eddi Rue McClanahan|John Patrick Hayes|
3579|Gremlins|Corey Scott Feldman|Chris Columbus (filmmaker)|
3580|Legacy of Rage|Brandon Bruce Lee||
3581||Sarah Price (filmmaker)|Frankie Latina (filmmaker)|
3582||Walter Hudd|Rudyard Kipling|
3583|||Mark Obenhaus|
3584|Invigningen|Robert P. Olsson, Kenneth Karlsson and Sebastian Bengtsson|Ulf Norstru00F6m and Robert P. Olsson|
3585|Kippur|Uri Klauzner|Marie-Jose Sanselme|
3586||Martine Brochard|Tinto Brass|
3587||Laia Marull|Alicia Luna|
3588|||Yulian Suwandri,  Irene Atmadja|
3589||Marianne Raigipcien Jean-Baptiste|Rowdy Herrington|
3590|It Ain't Hay|Lou Costello|John Grant (screenwriter)|
3591||Mara Goyanes|Rafael Azcona|
3592|Black Mask|Anthony Wong Chau-Sang|Teddy Chan|
3593|The Three Godfathers|Henry DeWitt Carey II|Peter B. Kyne|
3594|Godzilla Raids Again|Hiroshi Koizumi|Takeo Murata|
3595|Deconstructing Harry|Eric Bogosian|Woody Allen|
3596||Aamir Khan|Dilip Shankar|
3597||Walter Andrew Brennan|Felix Adler|
3598||Marjorie Reynolds|Hugh Wiley|
3599|||Patrice Leconte|
3600|Batman|Kimila Ann Basinger|Sam Hamm|
3601|||Abbas Kiarostami|
3602|Anaconda|Ice Cube|Jim Cash|
3603||Feng Feng|Tang King Sang|
3604|Gog|Constance Dowling|Ivan Tors|
3605||Rosalind Russell|Frank Wead|
3606|The Omega Man|Anthony Zerbe|Richard Matheson|
3607|Legend of the Red Dragon|Chingmy Yau|Wong Jing|
3608|Richard III|Annette Carol Bening|Ian McKellen|
3609|The Decline of Western Civilization III|||
3610||Shahrukh Khan|Akash Khurana|
3611|Memoirs of a Geisha|Gong Li|Robin Swicord|
3612||Our Gang|Harry Eugene Roach|
3613|Target for Tonight|Royal Air Force||
3614|Four Frightened People|Herbert Brough Falcon Marshall|Lenore J. Coffee|
3615|Title||Courtney Hunt|
3616||Joe Whipp|Charles Sanders|
3617|Justin Case|George Carlin|Jennifer Edwards|
3618|Night of the Living Dead 3-D|Greg Travis|John A. Russo|
3619||Grateful Dead||
3620|The Bohemian Girl|Margaret Mann|Frank Butler|
3621|Silver Jew|David Berman (singer)||
3622||Peter Gilmore|Talbot Rothwell|
3623|Botched|Jaime Murray||
3624||Goundamani||
3625|Blue Blazes|Joseph Frank Keaton VI|David Freedman|
3626||Suthep Po-ngam||
3627||Sridevi||
3628|Hostel|Jay Hernandez|Eli Raphael Roth|
3629|Mabel, Fatty and the Law|Mabel Normand|Rob Wagner|
3630|I Love You to Death|River Jude Bottom|John Kostmayer|
3631|Crimewave|Louise Lasser|Ethan Coen|
3632||Phyllis Diller||
3633|Zeus and Roxanne|Kathleen Denise Quinlan|Tom Benedek|
3634|Hum Tum|Jimmy Shergill|Siddharth Anand|
3635||Paloma Woolrich|Carlos Cuaru00F3n|
3636||Frank Lovejoy|Crane Wilbur|
3637||Donald Edmond Wahlberg|Nicholas Pileggi|
3638|Pukar|Madhuri Shankar Dixit|Rajkumar Santoshi|
3639|Yokai Daisenso|Chiaki Kuriyama|Hiroshi Aramata|
3640|Lakshmi Narasimha|Asin Thottumkal|Paruchuri Brothers|
3641||Tedde Moore|Jean Shepherd|
3642|The Naked Edge|Deborah Jane Kerr-Trimmer|Max Ehrlich|
3643|You Got Served|Omarion||
