id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes
1352||Barbara Eiler|||2006-01-01|1922-01-01||||actress|
1353|The Secret Place||21|3||||1962-01-01|Adventure||60
1354||Michael Kelly||||1969-01-01||||actor,producer,soundtrack|
1355||Michael Forest||||1929-01-01||||actor,miscellaneous,sound_department|
1356||Michael Anderson Jr.||||1943-01-01||||actor,soundtrack|
1357||Stephen Hammer||||||||actor|
1358||Abdullah Abbas|||1986-01-01|1906-01-01||||actor|
1359||Bernard Rothman||||||||writer,producer,miscellaneous|
1360||Paul Dickson|||2011-01-01|1920-01-01||||director,writer,miscellaneous|
1361||Barbara Schmidt||||||||actress|
1362|A Visit to Sao Paolo||4|6||||1958-01-01|Drama||30
1363||Lynn Stone||||1979-01-01||||actress|
1364||Charles R. Rondeau|||1996-01-01|1917-01-01||||director,producer|
1365||Frances de la Tour||||1944-01-01||||actress,soundtrack|
1366||Nat Perrin|||1998-01-01|1905-01-01||||producer,writer,director|
1367||James Baker|||||||||
1368||Hugo Haas|||1968-01-01|1901-01-01||||actor,writer,director|
1369|Open for Diving||1|2||||1960-01-01|Adventure||60
1370||Leslie Stevens|||1998-01-01|1924-01-01||||writer,producer,miscellaneous|
1371||Dave Lamb||||1969-01-01||||actor,writer,miscellaneous|
1372||Gerd Haag||||||||producer,miscellaneous,director|
1373||James Olson|||1999-01-01|1930-01-01||||actor,soundtrack|
1374||Daniel Haller||||1926-01-01||||director,art_director,production_designer|
1375||Mort Thompson||||||||actor|
1376||Ted D. McCord|||1976-01-01|1900-01-01||||cinematographer,camera_department,miscellaneous|
1377||Moses Chan||||1971-01-01||||actor,soundtrack|
1378|The Glass Cage||7|8||||1960-01-01|Drama||30
1379||Henry S. Kesler|||1997-01-01|1907-01-01||||director,producer,assistant_director|
1380||Eric Waldrop||||||||actor,producer|
1381||Albert Szabo|||1994-01-01|1919-01-01||||actor|
1382||Bettina Sch?n|||2021-01-01|1926-01-01||||actress,miscellaneous|
1383||Robert Butler||||1927-01-01||||miscellaneous,director,writer|
1384||Timothy Van Patten||||1959-01-01||||director,actor,producer|
1385|The Black Pearl||14|1||||1962-01-01|Adventure||
1386||Fahadh Faasil||||1982-01-01||||actor,producer|
1387||Vladim?r Mens?k|||1988-01-01|1929-01-01||||actor,soundtrack,writer|
1388||Matt DeCaro||||||||actor,assistant_director|
1389||Douglas Morrow|||1994-01-01|1913-01-01||||writer,actor,producer|
1390||Cl?ment Simounet||||||||composer|
1391||Tofig Taghizade|||1998-01-01|1919-01-01||||director,actor,writer|
1392||Robert Aldrich|||1983-01-01|1918-01-01||||director,assistant_director,producer|
1393|Strange Money||11|6||||1958-01-01|Drama||30
1394|Marlene|||||||1984-01-01|Biography,Documentary||94
1395||Rod Campbell||||||||actor|
1396||Dominic Frontiere|||2017-01-01|1931-01-01||||music_department,composer,soundtrack|
1397||Howard Jerome||||||||actor|
1398|Lente loco||||||2001-01-01|1990-01-01|||30
1399||Allan Balter|||1981-01-01|1925-01-01||||writer,producer,script_department|
1400||Guido Alberti|||1996-01-01|1909-01-01||||actor|
1401||Henry Silva||||1928-01-01||||actor|
1402||Tom Drake|||1982-01-01|1918-01-01||||actor,soundtrack|
1403|Nightmare on Napuka||15|1||||1960-01-01|Adventure||60
1404|House of Cards||||||2018-01-01|2013-01-01|Drama||51
1405||Paul Sparks||||1971-01-01||||actor|
1406||Gerhard Just|||1977-01-01|1904-01-01||||actor|
1407|The Avenging Phantom/Myth Conceptions||3|2||||1994-01-01|Animation,Comedy,Fantasy||21
1408|The Wreckers||7|1||||1957-01-01|Adventure||30
1409|Chapter 22||9|2||||2014-01-01|Drama||49
1410||Michael Small|||2003-01-01|1939-01-01||||composer,music_department,soundtrack|
1411||Geraldine Hall|||1970-01-01|1905-01-01||||actress|
1412||Lola Albright|||2017-01-01|1924-01-01||||actress,soundtrack|
1413|The First Man to Ask Her||28|1||||1954-01-01|Drama||30
1414|B?sta testen: Del 2||10|3||||2019-01-01|Comedy||
1415||Shihui Cheng||||||||production_manager|
1416||Jackie Russo||||||||actor,art_department,camera_department|
1417||Gail Mutrux||||1945-01-01||||producer,miscellaneous,production_manager|
1418||Roy Castle|||1994-01-01|1932-01-01||||actor,soundtrack|
1419||Larry Kerr|||1968-01-01|1912-01-01||||actor|
1420||Guy Stockwell|||2002-01-01|1933-01-01||||actor|
1421||Jussara Barros|||||||||
1422||Gene Lyons|||1974-01-01|1921-01-01||||actor|
1423||Beth Chalmers||||||||actress,writer,producer|
1424||Bruce Wendell||||1914-01-01||||actor|
1425||Pio Del Rio|||||||||
1426|Sniper: Part 2||9|4||||1996-01-01|Crime,Drama,Mystery||
1427||Soumitra Chatterjee|||2020-01-01|1935-01-01||||actor|
1428||Mark Wall|||||||||
1429|Fab Freddie g?star||5|3||||2019-01-01|Comedy||
1430||Francis De Sales|||1988-01-01|1912-01-01||||actor|
1431||Eoghan Harris||||||||writer,actor|
1432||Hiroshi Kamiya||||1975-01-01||||actor,soundtrack|
1433|Something About Love||12|2||||1954-01-01|Drama||30
1434||Miyuki Sawashiro||||1985-01-01||||actress,soundtrack|
1435||Martin Landau|||2017-01-01|1928-01-01||||actor,producer,miscellaneous|
1436||Tina Thompson||||1946-01-01||||actress,soundtrack|
1437||Alejandro Agresti||||1961-01-01||||director,writer,cinematographer|
1438||Tara Strong||||1973-01-01||||actress,music_department,producer|
1439||Grace Leonard||||||||actress|
1440||James L. Henderson||||||||writer|
1441||Thiago Fragoso||||1981-01-01||||actor,soundtrack,producer|
1442||Laraine Newman||||1952-01-01||||actress,soundtrack,miscellaneous|
1443||Tristram Coffin|||1990-01-01|1909-01-01||||actor|
1444||Herbert Jarczyk|||1968-01-01|1913-01-01||||music_department,composer,soundtrack|
1445|Growing Pains||8|2||||1994-01-01|Animation,Comedy,Fantasy||21
1446|Tempest at Teapot Bay||23|1||||1958-01-01|Adventure||30
1447||Bert Luppes||||1955-01-01||||actor|
1448||Yo-won Lee||||1980-01-01||||actress|
1449||Keefus Ciancia||||||||composer,music_department,soundtrack|
1450||Hy Hazell|||1970-01-01|1919-01-01||||actress,soundtrack|
1451||Eric Quizon||||1967-01-01||||actor,director,producer|
1452||Bert Granet|||2002-01-01|1910-01-01||||producer,writer,miscellaneous|
1453||Kelly Reilly||||1977-01-01||||actress,producer|
1454||Deborah Goodwin||||1966-01-01||||writer,director,producer|
1455||Karl John|||1977-01-01|1905-01-01||||actor,director,production_designer|
1456||Viktor Rozov|||2004-01-01|1913-01-01||||writer|
1457||Gary Krawford|||2020-01-01|1941-01-01||||actor|
1458||Reed Diamond||||1967-01-01||||actor|
1459||Fay Spain|||1983-01-01|1932-01-01||||actress|
1460||Benjamin Masselink|||2000-01-01|1919-01-01||||writer|
1461|My Two Hands||14|5||||1958-01-01|Drama||30
1462||Tito Lusiardo|||1982-01-01|1896-01-01||||actor|
1463||Emil Knudsen||||||||actor|
1464||Charles Bronson|||2003-01-01|1921-01-01||||actor|
1465||Edward Hume||||||||writer|
1466||Virginia Field|||1992-01-01|1917-01-01||||actress,soundtrack|
1467|Ostrich Farmer||8|1||||2005-01-01|Reality-TV||43
1468||Ted Stanhope|||1977-01-01|1902-01-01||||actor|
1469||Joe Reser|||||||||
1470|50% of Normal||9|1||||1974-01-01|Crime,Drama||60
1471||Ann Marie Sisco||||||||editorial_department,editor,miscellaneous|
1472|Independent Lens|||||||1999-01-01|Documentary||
1473||Ralph W. Chambers|||1968-01-01|1892-01-01||||actor|
1474||Justin Lin||||1971-01-01||||producer,director,writer|
1475|Shaggy Dog, City Goat||11|6||||1998-01-01|Crime,Drama,Mystery||
1476||James P. Yarbrough|||1962-01-01|1918-01-01||||director|
1477|Little Monster, Tall Tales||15|7||||1960-01-01|Drama||30
1478|Chapter 19||6|2||||2014-01-01|Drama||52
1479||Dimko Minov||||1938-01-01||||cinematographer,camera_department,actor|
1480||Claudia Calvi?o||||||||producer,miscellaneous,executive|
1481||Floyd Guillory|||||||||
1482||Kourosh Ataee||||||||director,assistant_director,producer|
1483||Alexandre Boechat||||||||editor,director,writer|
1484||Andy Jennings||||||||actor|
1485||John Kerry||||1943-01-01||||actor,camera_department,miscellaneous|
1486||Derek Brown|||||||||
1487|Be Good, Smile Pretty||5|5||||2003-01-01|Documentary||52
1488|M.E., Myself and I||5|5||||1996-01-01|Crime,Drama,Mystery||60
1489||Viveca Lindfors|||1995-01-01|1920-01-01||||actress,soundtrack,director|
1490||F.R. Weir||||||||writer|
1491||Heinz Engelmann|||1996-01-01|1911-01-01||||actor,miscellaneous,production_manager|
1492||Jerome Hairston||||||||producer,writer,miscellaneous|
1493|What to Expect When You're Expecting Six Babies||2|1||||2018-01-01|Drama,Family,Reality-TV||42
1494||Gerd Oelschlegel|||1998-01-01|1926-01-01||||writer,director|
1495||Harriet Pratt||||||||writer|
1496||Amber McClarin||||||||miscellaneous,producer,director|
1497||Howard Dayton|||2009-01-01|1927-01-01||||actor|
1498||Arlene Harris|||1976-01-01|1896-01-01||||actress|
1499||Bert Grund|||1992-01-01|1920-01-01||||composer,music_department,actor|
1500|Mr. Wilson's Wife: Part 1||26|6||||1959-01-01|Drama||30
1501||Lisa Mariano||||||||director,cinematographer|
1502|Sweet Home Sextuplets|||||||2018-01-01|Drama,Family,Reality-TV||60
1503||Mikhail Gluzskiy|||2001-01-01|1918-01-01||||actor|
1504||Iwan Rheon||||1985-01-01||||actor|
1505||Cheryl Callaway||||1946-01-01||||actress|
1506||Megan Montaner||||1987-01-01||||actress|
1507|Dirtiest Tools||1|2||||2006-01-01|Reality-TV||
1508||Srecko Kovacevic||||||||actor,special_effects,camera_department|
1509||Brigitte Lin||||1954-01-01||||actress|
1510|Trial Run||1|1||||1953-01-01|Drama||30
1511|Diener||14|5||||1997-01-01|Crime,Drama,Mystery||
1512||Jean-Fran?ois Poron|||2020-01-01|1936-01-01||||actor,miscellaneous|
1513||Miloslav Svandrl?k|||2009-01-01|1932-01-01||||writer,actor|
1514||Don Kelly|||1966-01-01|1924-01-01||||actor|
1515||Frank Tweddell|||1971-01-01|1895-01-01||||actor|
1516|The Sissy||23|1||||1961-01-01|Adventure,Drama,Family||30
1517||K?ichi Yamadera||||1961-01-01||||actor,soundtrack|
1518|Laughing Boy||12|1||||1953-01-01|Drama||30
1519|Lord Byron||1|1||||2003-01-01|Biography,Comedy,Documentary||
1520||Friedrich Meyer|||1993-01-01|1915-01-01||||composer,soundtrack,music_department|
1521||Mary Emma Watson||||||||actress|
1522||Richard Newman|||2016-01-01|1928-01-01||||writer|
1523|Padamati Sandhya Ragam|||||||1987-01-01|Romance||142
1524||Jack Brooks|||||||||
1525||Kurt Sowinetz|||1991-01-01|1928-01-01||||actor,soundtrack|
1526||Kurt Vanzo||||||||sound_department,composer,producer|
1527||Rick Smith|||||||||
1528||Ugur I?bak||||||||camera_department,cinematographer,assistant_director|
1529||John K. Butler|||1964-01-01|1908-01-01||||writer|
1530||Nicky Guadagni||||||||actress,producer|
1531||Mara Corday||||1930-01-01||||actress|
1532||Benedict Sandiford||||||||actor|
1533||Lee Warburton||||1972-01-01||||actor,miscellaneous,writer|
1534|Sonnenblumenweg 7||1|6||||1968-01-01|Drama||60
1535|Kellerman, P.I.: Part 2||9|7||||1998-01-01|Crime,Drama,Mystery||
1536||Michel Piccoli|||2020-01-01|1925-01-01||||actor,producer,director|
1537||William Froug|||2013-01-01|1922-01-01||||producer,writer,miscellaneous|
1538||Catherine Lock||||||||actress|
1539||Sayuri Yoshinaga||||1945-01-01||||actress,soundtrack,producer|
1540|The Things of Life|||||||1970-01-01|Drama,Romance||89
1541||Paul Burke|||2009-01-01|1926-01-01||||actor,soundtrack|
1542||Janice L. Platt||||||||producer,director,writer|
1543||Joe Evans|||1973-01-01|1900-01-01||||actor|
1544|The New York Story||23|1||||1954-01-01|Drama||30
1545|The Drought||6|1||||1960-01-01|Adventure,Drama,Family||30
1546||Christine Burke|||2009-01-01|1929-01-01||||actress,soundtrack|
1547|Color Him Lucky||25|1||||1963-01-01|Drama,Sport,Western||
1548||Kari Skogland||||||||director,miscellaneous,producer|
1549||Rin Takanashi||||1988-01-01||||actress|
1550||Mike Gwilym||||1949-01-01||||actor|
1551||Grant Woods|||1968-01-01|1932-01-01||||actor|
1552||Lee Hae-Young||||||||actor|
1553|Enter at Your Own Risk||14|8||||1961-01-01|Drama||30
1554||Stephen Lawrence||||||||editor,editorial_department,production_manager|
1555||Brad Abrell||||1965-01-01||||actor,miscellaneous|
1556||Erika Peters||||1935-01-01||||actress|
1557|100th Dirty Job Special||22|2||||2006-01-01|Reality-TV||88
1558||Herbert Vesely|||2002-01-01|1931-01-01||||director,writer,producer|
1559|Eeny, Meeny, Murder, Moe||6|1||||2001-01-01|Action,Drama,Mystery||
1560|Three and Two, Please||16|4||||1956-01-01|Drama||30
1561|Control||9|5||||1996-01-01|Crime,Drama,Mystery||
1562|Jobs That Bite Harder||17|2||||2006-01-01|Reality-TV||
1563|A Model Top Model||11|2||||1999-01-01|Action,Adventure,Animation||
1564|Chapter 36||10|3||||2015-01-01|Drama||57
1565||Bruce Pittman||||1950-01-01||||director,producer,writer|
1566||Vicente Padula|||1967-01-01|1898-01-01||||actor|
1567||Sidney Clute|||1985-01-01|1916-01-01||||actor|
1568||Robert Espinosa|||||||||
1569||Yuri Volchanetsky|||1977-01-01|1919-01-01||||art_department,production_designer,costume_designer|
1570||Madlyn Rhue|||2003-01-01|1935-01-01||||actress,soundtrack,miscellaneous|
1571||Robert Reardon||||||||actor|
1572||Robert B. Weide||||1959-01-01||||producer,director,writer|
1573||Vivica A. Fox||||1964-01-01||||actress,producer,soundtrack|
1574||Agnes Sligh Turnbull||||||||writer|
1575||Daniel A. Nathan|||1971-01-01|1916-01-01||||production_manager,editor,producer|
1576||Martin Scorsese||||1942-01-01||||producer,director,actor|
1577|Es f?hrt kein Weg zur?ck||1|1||||1963-01-01|Drama||62
1578||Baynes Barron|||1982-01-01|1917-01-01||||actor|
1579||Stefan Schnabel|||1999-01-01|1912-01-01||||actor|
1580|Vendetta||3|3||||1961-01-01|Adventure||60
1581||Dieter Lemmel||||1924-01-01||||director,writer,producer|
1582|M?ns Nathanaelson g?star||4|3||||2019-01-01|Comedy||
1583|The Man Who Couldn't Smile||25|8||||1961-01-01|Drama||30
1584|The Circuit||28|1||||1961-01-01|Adventure,Drama,Family||30
1585|A Matter of Percentage||17|1||||1963-01-01|Drama,Sport,Western||
1586||Roberto Bangura||||1962-01-01||||director,writer,editor|
1587||Sandip Senan||||||||producer|
1588||Elizabeth Bennett||||1944-01-01||||actress|
1589||Preston Foster|||1970-01-01|1900-01-01||||actor,soundtrack|
1590||Nancy Gilbert||||||||actress|
1591|Dr. Juliet||2|2||||1954-01-01|Drama||30
1592||Daniel Stemer||||||||actor|
1593|Docventures|||||||2013-01-01|Documentary,Talk-Show||
1594||Marc Sheffler||||||||writer,miscellaneous,actor|
1595||Dehl Berti|||1991-01-01|1921-01-01||||actor,writer|
1596||Michael Conrad|||1983-01-01|1925-01-01||||actor|
1597||John Beradino|||1996-01-01|1917-01-01||||actor,writer|
1598||Danny Breen|||2017-01-01|1950-01-01||||producer,writer,actor|
1599|Pat Hand||3|1||||1962-01-01|Adventure||
1600||Inti Herrera||||||||producer,production_manager,assistant_director|
1601||Robert Bockstael||||||||actor,director,writer|
1602||Patty Ann Gerrity|||1991-01-01|1948-01-01||||actress|
1603||Lawrence Edward Watkin|||1981-01-01|1901-01-01||||writer,soundtrack,music_department|
1604|The Jonah Stone||24|2||||1961-01-01|Adventure||60
1605||Sarah Evans||||||||actress,miscellaneous|
1606||Meg Watters||||||||miscellaneous,actress|
1607||John Clive|||2012-01-01|1933-01-01||||actor,director,music_department|
1608||Steve Liebmann||||1944-01-01||||actor|
1609||Ingrid Resch||||1935-01-01||||actress|
1610||Edwin Hodgeman||||1935-01-01||||actor|
1611|Death in Slaughter Stream||8|1||||2004-01-01|Documentary||48
1612||Alexander Hegarth|||1984-01-01|1923-01-01||||actor|
1613||Sally Gray||||||||writer,actress,producer|
1614||Thomas Gomez|||1971-01-01|1905-01-01||||actor|
1615||Margaret Laurence|||1987-01-01|1926-01-01||||writer|
1616||Henry Brown||||||||actor|
1617|A Dollar's Worth||1|5||||1957-01-01|Drama||30
1618||Sean Whitesell|||2015-01-01|1963-01-01||||producer,writer,actor|
1619||Vladimir Sokoloff|||1962-01-01|1889-01-01||||actor,miscellaneous|
1620||Larry Hagman|||2012-01-01|1931-01-01||||actor,producer,director|
1621||Roger Dumas|||2016-01-01|1932-01-01||||actor,soundtrack,miscellaneous|
1622||Philip Bourneuf|||1979-01-01|1908-01-01||||actor|
1623||Michael Cumming||||||||director,writer,producer|
1624|Man Eater||17|2||||1961-01-01|Adventure||60
1625||Lon Chaney|||1930-01-01|1883-01-01||||actor,director,writer|
1626||Andrew Hunt|||||||||
1627||Steven Keats|||1994-01-01|1945-01-01||||actor|
1628||Jay Tarses||||1939-01-01||||writer,producer,actor|
1629||Albena Katerinska||||||||editor,editorial_department,sound_department|
1630|The End of the Week||12|4||||1956-01-01|Drama||30
1631||Patrick Westwood|||2017-01-01|1924-01-01||||actor,miscellaneous|
1632||Andy Gertsner|||||||||
1633||Kristin Stanford|||||||||
1634|Happy Ordinary Day||19|1||||2016-01-01|Animation,Comedy,Family||
1635||Maryann Towne||||||||actress,miscellaneous|
1636||Tito Valverde||||1951-01-01||||actor,soundtrack|
1637|Long Live the Sultan||30|1||||1962-01-01|Adventure||30
1638||Im Ye-jin||||||||actress|
1639||Hugh O'Brian|||2016-01-01|1925-01-01||||actor,soundtrack,miscellaneous|
1640|The Forbidden Sea||25|1||||1960-01-01|Adventure||60
1641||Paula Dehelly|||2008-01-01|1917-01-01||||actress,miscellaneous|
1642||Bobby Driscoll|||1968-01-01|1937-01-01||||actor,soundtrack,miscellaneous|
1643||Manfred Ensinger||||1929-01-01||||cinematographer,camera_department,director|
1644||Raymond Bailey|||1980-01-01|1904-01-01||||actor,soundtrack|
1645||N. Yefanova||||||||costume_designer|
1646||Robert Ellenstein|||2010-01-01|1923-01-01||||actor,director|
1647||Emily Whitesell||||1964-01-01||||producer,writer,miscellaneous|
1648||Patricia Clarkson||||1959-01-01||||actress,producer,soundtrack|
1649||Peter Veverka||||||||producer,assistant_director,production_manager|
1650||Rich Ackerman|||||||||
1651||Mark Allen|||2003-01-01|1920-01-01||||actor|
1652|The Maxx||||||1995-01-01|1995-01-01|Action,Adventure,Animation||154
1653||Donald S. Sanford|||2011-01-01|1918-01-01||||writer|
1654||Patricia Blair|||2013-01-01|1933-01-01||||actress|
1655|Hill of Ghosts||30|2||||1961-01-01|Adventure||60
1656||Frank Campanella|||2006-01-01|1919-01-01||||actor|
1657|The Terrible Secret of Turtle Bay||0|1||||2003-01-01|Action,Adventure,Animation||22
1658|White Lies||6|5||||1996-01-01|Crime,Drama,Mystery||
1659|Competitive Spirit||5|3||||1999-01-01|Animation,Comedy,Fantasy||21
1660|Silent Threat||20|1||||1958-01-01|Adventure||30
1661|Finding Farideh|||||||2018-01-01|Documentary||88
1662||Barbara Kopple||||1946-01-01||||director,producer,sound_department|
1663||Pat Harrison||||||||production_manager,actor,location_management|
1664||Noa Ben-Artzi||||||||writer|
1665||Fernando Fiore||||||||actor|
1666||Claes Malmberg||||1961-01-01||||actor,writer|
1667|The Count of Ten||25|1||||1954-01-01|Drama||30
1668||Sh?suke Tanihara||||1972-01-01||||actor|
1669||Allen Jaffe|||1989-01-01|1928-01-01||||actor|
1670||Paul Reiser||||1956-01-01||||actor,writer,producer|
1671||Karen Bernstein||||1969-01-01||||actress|
1672||Preston Hanson|||2008-01-01|1921-01-01||||actor|
1673||Edwin Blum|||1995-01-01|1906-01-01||||writer,script_department|
1674||Max Mellin|||1977-01-01|1904-01-01||||production_designer,art_director|
1675||John Dahl||||1956-01-01||||director,art_department,writer|
1676||Randy Krehbiel||||||||camera_department,cinematographer|
1677||Cyril Hume|||1966-01-01|1900-01-01||||writer,miscellaneous|
1678||Konstantin Iliev|||1988-01-01|1924-01-01||||composer|
1679||James G. Richardson|||1983-01-01|1945-01-01||||actor,writer|
1680||Gary Hickeson||||||||composer,sound_department|
1681||Ljiljana Pejcinovic||||||||production_designer,costume_designer|
1682|Play for Today||||||1984-01-01|1970-01-01|Comedy,Drama||75
1683||Nassim Al Fakir||||1977-01-01||||actor,soundtrack|
1684||Dana Medrick?|||1983-01-01|1920-01-01||||actress|
1685||William Daniels||||1927-01-01||||actor,director,soundtrack|
1686|Secrets||20|6||||1998-01-01|Crime,Drama,Mystery||
1687||Saffron Burrows||||1972-01-01||||actress,director,writer|
1688|The Thong||5|2||||2001-01-01|Comedy||28
1689||Yesim Salkim||||1968-01-01||||actress|
1690|Second Spring||20|7||||1960-01-01|Drama||30
1691||Meghan Maguire||||||||actress|
1692||Dennis Potter|||1994-01-01|1935-01-01||||writer,producer,director|
1693||Tom Owens||||||||animation_department,art_department,director|
1694|Chapter 9||9|1||||2013-01-01|Drama||49
1695||Martine Bartlett|||2006-01-01|1925-01-01||||actress,writer|
1696|Chapter 68||3|6||||2018-01-01|Drama||53
1697||Jaume Valls||||||||actor|
1698|Too Many Clients: Part 1||9|2||||2002-01-01|Action,Drama,Mystery||
1699||Chiwa Sait?||||1981-01-01||||actress,soundtrack|
1700|Foisted!||1|9||||2017-01-01|Comedy||37
1701|Thrill of the Kill||4|4||||1995-01-01|Crime,Drama,Mystery||
1702||Amanda Randolph|||1967-01-01|1896-01-01||||actress,soundtrack|
1703||William Frawley|||1966-01-01|1887-01-01||||actor,soundtrack|
1704||Dora Venter||||1976-01-01||||actress|
1705||Simon Delaney||||||||director|
1706|Night Rescue||10|1||||1957-01-01|Adventure||30
1707||Bob Barbash|||1995-01-01|1919-01-01||||writer,production_manager,producer|
1708||Jessica Hann||||||||actress|
1709||Mark Thibodeaux|||||||||
1710||Jerzy Lipman|||1983-01-01|1922-01-01||||cinematographer,director,writer|
1711||Craig Stevens|||2000-01-01|1918-01-01||||actor,soundtrack|
1712||Diana Lynn|||1971-01-01|1926-01-01||||actress,soundtrack|
1713||Erin O'Brien-Moore|||1979-01-01|1902-01-01||||actress|
1714||Edward Tang||||1946-01-01||||writer,producer,miscellaneous|
1715||David Thomas||||||||actor|
1716|Mink Coat||30|2||||1955-01-01|Drama||30
1717||Oswaldo Campozana||||||||actor|
1718||Caio Rodriguez||||||||editor,editorial_department|
1719||Mel Blanc|||1989-01-01|1908-01-01||||actor,soundtrack,music_department|
1720||Phil Harris|||1995-01-01|1904-01-01||||actor,soundtrack,music_department|
1721||Marek Mackovic||||||||producer,miscellaneous,director|
1722||Jelle Nesna||||1955-01-01||||director,producer,writer|
1723||Eddie Fitzgerald|||1966-01-01|1901-01-01||||cinematographer,camera_department|
1724||Tony Mooney||||1965-01-01||||actor,art_department|
1725||Wolfgang de Gelmini|||1993-01-01|1926-01-01||||composer,cinematographer,soundtrack|
1726||Hans Maeter|||2012-01-01|1923-01-01||||writer|
1727||Xenia P?rtner|||2005-01-01|1932-01-01||||actress|
1728||Bok-rae Jo||||||||actor,soundtrack|
1729|Breakdown||5|1||||2005-01-01|Comedy||
1730|Prison Riot||3|5||||1996-01-01|Crime,Drama,Mystery||
1731||John Tucker Battle|||1962-01-01|1902-01-01||||writer|
1732|The Things I Cannot Change|||||||1967-01-01|Documentary||55
1733||Don Cicoletti|||||||||
1734||Helena Lumbreras||||||||director,writer,cinematographer|
1735|The Smoking Jacket||6|5||||2005-01-01|Comedy||30
1736||Zdenek Miler|||2011-01-01|1921-01-01||||director,writer,art_director|
1737|The Raffle||1|1||||1960-01-01|Adventure,Drama,Family||30
1738||Peter Ustinov|||2004-01-01|1921-01-01||||actor,writer,director|
1739|Royal Partners: Part 1||33|4||||1957-01-01|Drama||30
1740||Gareth Thomas|||2016-01-01|1945-01-01||||actor|
1741||Diana Errico-Topolski|||||||||
1742||Buck Taylor||||1938-01-01||||actor,soundtrack,miscellaneous|
1743||Marianna Hill||||1942-01-01||||actress,soundtrack|
1744||Peter Thomas|||2020-01-01|1925-01-01||||composer,music_department,soundtrack|
1745||Andr? Maurois|||1967-01-01|1885-01-01||||writer|
1746||Zoran Sruk||||||||actor|
1747|Pleasant Screams||3|1||||1993-01-01|Animation,Comedy,Fantasy||30
1748|Justice: Part 1||13|4||||1996-01-01|Crime,Drama,Mystery||
1749||Robert Burton|||1962-01-01|1895-01-01||||actor|
1750||Michelle Monaghan||||1976-01-01||||actress,producer|
1751||Richard C. Bennett|||2016-01-01|1923-01-01||||director,assistant_director,producer|
1752||Steven Clarke||||||||director,producer,writer|
1753||Fred Graham|||1979-01-01|1908-01-01||||actor,stunts,miscellaneous|
1754||Anthony Sydes|||2015-01-01|1941-01-01||||actor,soundtrack|
1755||Paul Alexandro||||||||actor,producer,writer|
1756|Episode #1.6||6|1||||1971-01-01|Drama||
1757||Ryan Warren Smith||||1977-01-01||||production_designer,set_decorator,art_department|
1758||Charlie Pearson||||||||writer,art_department|
1759||D.F. Miller||||||||writer|
1760||Eustace Cockrell|||1972-01-01|1909-01-01||||writer|
1761||Enid Bagnold|||1981-01-01|1889-01-01||||writer|
1762||Mady Rahl|||2009-01-01|1915-01-01||||actress,soundtrack|
1763||J?lio Ara?jo||||||||actor|
1764|Man in a Hurry||8|5||||1957-01-01|Drama||30
1765||Dale Ishimoto|||2004-01-01|1923-01-01||||actor|
1766||Laura Eason||||||||writer,producer,actress|
1767||Estelle Winwood|||1984-01-01|1883-01-01||||actress,soundtrack|
1768||Doug Glover||||1970-01-01||||cinematographer,camera_department,director|
1769||Patricia Owens|||2000-01-01|1925-01-01||||actress|
1770||Marc Alaimo||||1942-01-01||||actor|
1771||James Congdon||||1929-01-01||||actor|
1772|SG||||||2002-01-01|2000-01-01|Action,Animation,Comedy||
1773||Raffaele La Capria||||1922-01-01||||writer|
1774||Judy George|||2006-01-01|1932-01-01||||writer|
1775||Christopher Thornton||||1967-01-01||||actor,writer,producer|
1776|The Pickle Gambit||2|9||||2017-01-01|Comedy||35
1777|This Is the Moment||16|6||||1959-01-01|Drama||30
1778||Torin Thatcher|||1981-01-01|1905-01-01||||actor,writer|
1779||Enzo Provenzale|||1990-01-01|1920-01-01||||production_manager,writer,assistant_director|
1780|Bop Gun||1|2||||1994-01-01|Crime,Drama,Mystery||60
1781|Coal Miner||18|2||||2006-01-01|Reality-TV||42
1782||Judy Marshak||||||||actress|
1783||Jean de Segonzac||||||||director,cinematographer,camera_department|
1784||Lee Min-Ho||||1987-01-01||||actor,soundtrack|
1785||Melissa Kramper||||||||writer|
1786|Policeman's Holiday||17|3||||1962-01-01|Adventure||49
1787|Inga II||29|2||||1955-01-01|Drama||30
1788|The Lake||2|2||||1961-01-01|Adventure,Drama,Family||30
1789|Diana!|||||||1971-01-01|Music||60
1790||Alec Willows||||1952-01-01||||actor|
1791||Maury Gertsman|||1999-01-01|1907-01-01||||cinematographer,camera_department|
1792||Greta Chi||||1940-01-01||||actress|
1793||Pete Carpenter|||1987-01-01|1914-01-01||||composer,music_department,soundtrack|
1794||James Douglas|||2016-01-01|1929-01-01||||actor|
1795||June Harding|||2019-01-01|1937-01-01||||actress|
1796||Raymond Lam||||1979-01-01||||actor,soundtrack|
