id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/job
699||Tom Booker|||||guestStars
700||Gene Mack|||||guestStars
701||Alvin Lum|||||guestStars
702||Alyshia Ochse|||||guestStars
703||Dave Trovato|||||guestStars
704||Tom Shankland|||||director
705||Will Pinson Rose|||||guestStars
706||Damian Briscoe|||||guestStars
707||Jarboe|||||guestStars
708||||0.0|0.0||
710|All Work and No Play||The murder of Robert Breininger, who was shot dead by his 10-year-old son in what appeared to be a tragic accident. However, it later transpired the youngster had been manipulated into the act by Judith Hawkey, his stepmother, to secure a $500,000 life insurance settlement. A decade after the 2003 incident, Hawker was found guilty of aggravated murder, insurance fraud and child-endangering|1.0|2.0|2014-12-06|
711||Philip Voss|||||actor
713||Marika Carlsson|||||guestStars
714||Nic Pizzolato|||||guestStars
715|Original Pilot|||3.0|0.0||
716|Kid for Ransom - Tears for Daniel||CI examines two notorious abduction cases. The first case is the Graeme Thorne ransom kidnapping at Bondi in 1960. Thorne, aged eight was the son of winners of the Sydney Opera House Lottery. The second case is the recent Daniel Morecombe Queensland case that still remains unsolved. Crime Investigation Australia has secured exclusive interviews that shed new light on both of these infamous cases that stunned the nation.|2.0|1.0|2005-08-01|
717|Pretend Piggy||Monty is pretending to be a pig, but when his family tell him that people can't behave like animals, he begins to wonder why.|68.0|1.0|2017-10-25|
719||Ken Whittingham|||||directors
720||Lee Goldberg|||||writers
721|Wake||Freddie and Stuart are hosting a wake to mark the passing of an old friend. As they are joined by their small circle of elderly chums, the couple manage to create a toe-curlingly awkward evening with very little food but plenty of bitchy insults. Their new young upstairs neighbour Ash - whose sexuality becomes a point of great debate - spends the evening attempting to be the perfect guest, while fending off the advances of Freddie and Stuart's best friend Violet.|1.0|1.0|2013-04-29|
722||Ron McCants|||||writers
723|N-O– NOMINEE||JJ travels to a film festival where he’s been nominated for an award but is upset when he learns the real reason he’s being honored. Jimmy stays home and struggles to protect Dylan from the truth about an impending eviction. And Ray takes an unlikely and painful route to basketball stardom in hopes of winning back Taylor,|18.0|2.0|2018-03-21|
724||Justin Bieber|||||guestStars
725||Bob Einstein|||||guestStars
726|Act of Piracy|||18.0|2.0|1961-02-13|
727||Bob Einstein|||||actor
728|The Wedding||'A trash-talking radio talk-show host makes a proposal to his listening audience. Lewis announces to Kellerman that he is getting married today, then he throws up. He motivates the rest of the squad to help him with the final details as he is getting married ''''tonight after the shift ends.'''' Kay brings her sister with her to the station. Since the whole squad is busy with Lewis' wedding, Gee takes Howard out to work the homicide of the radio talk-show host. One of his listeners took him up on his proposal. Munch is skeptical about the Lewis wedding; he thinks it's an elaborate practical joke. Bayliss and Kellerman vie for the attention of Kay's sister. Gee shoots and kills a potential suspect, but the suspect was in jail at the time of the talk show host's murder. The guy who fingered him admits that he did it as a joke. The wedding is no hoax. During the festivities Pembleton's wife goes into labor.|21.0|4.0|1996-05-10|
729|About Sex with Anna Kontula|||8.0|1.0|2013-10-16|
730||Al Freeman Jr.|||||guestStars
731||Betsy Von Furstenburg|||||guestStars
732||Gene Levitt|||||writers
733|The Invisible Hand of Fate||Billy Quizboy recovers the memories of his former life as a failed TV Quizboy, the loss of his hand and eye in a dogfight, his recruitment into the OSI, and his first mission as a spy.|3.0|3.0|2008-06-15|
734||Bill Purple|||||director
736||Charlize Theron|||||guestStars
737|Virtual Vegas||When Dr. SkitzoPlex creates a remote that can control any machine, The Agents are obviously called in to find both him and the remote. Agent #1 finds love, while Agent #2 takes a spin on a hoboken toilet.|3.0|1.0||
739||Akiyuki Shimbou|||||director
741||Timothy Scanlin|||||guestStars
742|Richard Branson|||14.0|1.0|2012-05-17|
743||Munemasa Nakamoto|||||writers
744||Per Andersson|||||guestStars
745|Culzean Castle, Scotland|||3.0|1.0||
746||Eri Kitamura|||||actor
747||Kathrin Bachert|||||actor
748||Hunter|||||guestStars
749||Michael Gabel|||||guestStars
750||William Froug|||||writers
752|Geoduck Farmer||'Mike first heads off to California to help tear down a dam so trout on the endangered species list can spawn. Mike then goes to Pennsylvania to restore a church's pipe organ, a process that takes a total of eight years to complete. Finally, Mike goes to Puget Sound in Washington to harvest geoduck clams, otherwise known as ''gooey ducks''.|11.0|2.0|2006-07-18|
753||Gene Oswald|||||directors
754||Derrick Simmons|||||guestStars
756||Sarah Burns|||||guestStars
757||Tim Carr|||||guestStars
758||Cecil Kellaway|||||guestStars
759||Laura Eason|||||writers
760|Prisoner's Base (2)||Archie is arrested for impersonating a police officer while investigating the death of a woman who had stayed briefly at Wolfe's brownstone. Nero comes to the aid of his headstrong assistant, and they eventually expose a scheme to steal a fortune that someone feels is worth killing for.|6.0|1.0|2001-05-20|
761||Lee Bonner|||||director
762||Geoff Wilner|||||guestStars
763||Mark Beesley|||||director
764||Mike Crunyescha|||||director
765|The Haunted||Wealthy Vanessa Sutton Charles is plagued by mysterious apparitions of her dead husband. Strangely, the visitations occur on nights when Tahitians believe the dead come from the sea to haunt the living.|11.0|1.0|1959-12-21|
766||Timothy Hutton|||||director
767|A Model Citizen||'A young man comes into the squad room and after getting their attention, tells the detectives that his brother has been shot. Pembleton is sued by the multiple personality serial killer, who states he violated her civil rights during interrogation; he is discouraged when the city agrees to settle out of court. Munch must attend an alcohol awareness seminar to meet a requirement for the bar. Lewis has ''''love at first sight'''' with a woman who makes models of crime scenes, but she has ''''love at first sight'''' when she sees Bayliss and he sees her. Later, they attend an art exhibition and have an unusual sexual encounter in her ''''bed.'''' All is not well at the Felton household, when he returns home to a cleaned out house.|4.0|3.0|1994-11-11|
768||Kenneth Lin|||||writers
769||Bobbi Sue Luther|||||guestStars
771||Cleve Wall|||||guestStars
773|Sponge Bridge II ~ Kangaroo|||40.0|1.0|2008-02-03|
774||Rose Crisman|||||guestStars
776||Jay Leno|||||guestStars
777|Getting Serious||Justin cooks up a plan to get Mary Jane in the anchor chair while she and Lee decide whether or not they should have a baby together.|9.0|4.0|2017-03-14|
778||Steve Sheridan|||||guestStars
779||Thomas Mitchell|||||guestStars
780||Tom Vollette|||||guestStars
781||Jack Dylan Grazer|||||guestStars
782||Melissa James Gibson|||||writers
783||Bianca Kronl?f|||||guestStars
784||Owen Harn|||||guestStars
785||John Bernecker|||||guestStars
787|Suruga Monkey - Part 3||Koyomi takes Suruga to see Oshino in order to help her. However, the help he offers isn't the help Koyomi wanted...|8.0|1.0|2009-08-28|
788|Clubbing||Ash invites Freddie, Stuart, Penelope and Mason to go clubbing, which Freddie and Stuart turn into a popularity contest. Meanwhile, Violet arranges to go and visit her latest online suitor... even though he lives in Argentina. |4.0|1.0|2013-05-20|
790|Bell Maker||'Mike Rowe rolls up his sleeve and gets dirty making giant bells at the McShane Bell Foundry. Mike also gets down and dirty with the US Army Corps of Engineers as they conduct yearly maintenance on a hurricane barrier that was raised from the oceans floor.|19.0|2.0|2006-12-12|
791||Zach Galifianakis|||||actor
792||Stefan Gommermann|||||writers
793|If the Shoe Fits...||Mary Jane's birthday takes a backseat to family drama.|7.0|3.0|2015-11-24|
795||Robin Karfo|||||guestStars
796|Arrested Development||Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.|||2003-11-02|
797|About Drugs and Hemp with Mikko Salasuo|||3.0|1.0|2013-09-11|
798||Joel Schumacher|||||director
800|Hand Walk II ~ Muscle Gym ~ Ottoto 9|||21.0|1.0|2008-02-03|
801||Michael Fields|||||director
803||Kurt L. Schmoke|||||guestStars
804||Elva Mai Hoover|||||guestStars
805||Nancy Gates|||||guestStars
807||Nicholas Day|||||actor
809||Moyna MacGill|||||guestStars
810|LIVE on the Road '99|||2.0|0.0|1999-07-24|
812|Monsters||Jimmy Jones is scared of monsters under the bed and Monty wonders how they can be scary.|7.0|1.0|2016-06-28|
813||Darryl LeMont Wharton|||||writers
814|Student||Po pr?zdnin?ch se Franti?ek vrac? do Prahy. Sezn?m? se i s m?stn? knihovnou, zvl??t? ho zaj?maj? zak?zan? knihy. Roku 1781 je vyd?n toleran?n? patent, ?alman se nech? zapsat na matrice jako evangel?k. C?sa? Josef II. ale rozhodne i o dal??ch zm?n?ch: maj? b?t ru?eny kl??tery, co? pro Franti?ka znamen? konec studi?. Franti?ek se ale v kl??te?e s c?sa?em dokonce setk? a dostane od n?j stipendium. Majetek kl??tera je rozprod?v?n. Mni?i se sna?? n?jak? knihy zachr?nit a Franti?ek je pro n? vyn??? tajnou cestou ven, s?m si tak? n?jak? m??e vz?t. Pro ?almana vezme Bibli kralickou, spor mezi sousedy se tak urovn?.|2.0|1.0||
816||Chris Martin-Jones|||||directors
817||Steve Buscemi|||||directors
818||Scott Johnson|||||directors
819|Rebuilding the Seinfeld Sets||A look at the rebuilding of the Seinfeld sets for use in Curb.|33.0|0.0|2010-06-10|
820||Ami Brabson|||||guestStars
821||Zane Lasky|||||guestStars
822||E. Dawn Samuel|||||guestStars
824|Lies That Seem Like The Truth|||15.0|1.0|2016-10-10|
825|Yotsugi Doll - Part 1||Koyomi Araragi and Shinobu Oshino discuss the true nature of Shikigami doll Yotsugi Ononoki, and Koyomi is being rudely woken up by his sisters who tell him to cram for his upcoming college entrance exams.|15.0|0.0|2014-12-31|
826|Safari at Sea|||6.0|1.0|1959-11-16|
827|Ougi Formula - Parts 1 & 2||During the month of October of his third year in high school, Koyomi Araragi is introduced to a transfer student named Ougi Oshino, who tells him she has something to consult with him. This reveals a tale that brings to light “what” makes Koyomi Araragi.|1.0|4.0|2015-10-04|
829||Daniel Minahan|||||directors
830||Kendra Wilkinson|||||guestStars
831||Penny Bunton|||||guestStars
832|I Got Flowers Today||The serial killer strikes again. This time, the annoying next-door neighbor had gone a little too far and paid the price with her life. At the call center, Kang Kwon Joo meets with Na Hong Soo to probe into the murder case Kang Woo was a suspect in and finds out he’s taking Tegretol—a prescription drug for seizures, manic-depressive disorder, schizophrenia, etc.¬—and sometimes forgets what he does. Meanwhile, Park Eun Soo ex-boyfriend visits her at headquarters uninvited that leads to a code zero.|8.0|2.0|2018-09-02|
833||Brooke Williams|||||guestStars
834|Chapter 13||Frank scrambles to keep his plan on track. Gillian is planning to sue Claire. Zoe, Janine, and Lucas investigate Rachel Posner and her relationship with Peter Russo.|13.0|1.0|2013-02-01|
836|V-A-L-- VALENTINE'S D-A-- DAY||Maya gets help with Jimmy's Valentine's Day gift; Ray is excited about the prospect of having a secret admirer; J.J. distributes candy-grams.|14.0|1.0|2017-02-08|
838||James B. Clark|||||director
840||Mike Sussman|||||writers
841||||0.0|2.0||
842||Jeromy Ramos|||||guestStars
844|Imaginary Friend||'To relieve boredom while awaiting the grande opening of Laserland, teens Leo and Jamie decide to play ''''welcome wagon'''' by taunting the new neighbor, 9-year-old Mary Anne.  But Mary Anne's new, ghostly ''''imaginary friend'''' turns the table on the bullies, escalating when Leo snatches the girl's beloved kitten, Boo.|2.0|3.0|1999-09-16|
845|Girl Model|||48.0|0.0|2013-12-18|
847||Mary Ellen Nestor|||||guestStars
849||David Steinberg|||||directors
850||Geoffrey Horne|||||guestStars
852|Mayoi Hell - Part 2||Mayoi takes Koyomi to meet Teori, who offers him a way to return to the world of the living. Koyomi is in doubt about accepting his offer, as he believes others like Mayoi are more worthy of reviving than him, until he comes with a surprising decision.|2.0|5.0|2017-08-12|
854||Stephen Xavier Lee|||||guestStars
856|Episode 404|||4.0|4.0|2000-01-21|
859|Spray Insulation Technician||Mike Rowe gets dirty with a team of airport runway painters, examines dirty diapers for bad smells and then teams up with a group of spray insulation technicians that get dirty to keep our houses warm.|18.0|3.0|2007-11-27|
860|Neglect||Unable to get over being second choice for the sergeant's job, Rachel punishes Janet for not telling her. After Elise moves in with Ade, Janet feels inadequate as a mother although she has not given up on the idea of a boyfriend entirely. When an unconscious baby is admitted to hospital, staff are concerned that his injuries do not match his parents' explanation. But with a child-minder and her stoned boyfriend in the mix, it is unclear who had the baby's best interests at heart.|5.0|4.0|2014-10-08|
861|Sponge Bridge ~ Bamboo Derby|||16.0|1.0|2008-02-03|
862||Jon Seda|||||guestStars
863||Rachael Harris|||||guestStars
864||Ruben S. Brown|||||guestStars
865||Charles Barton|||||director
866||Sedona James|||||guestStars
867|Do Elephants Forget?||After he forgets to do his chores and empty his lunchbox, Monty wonders if it's possible for someone to remember everything.|38.0|1.0|2017-04-26|
868||Amber Carollo|||||guestStars
870||Paul Comi|||||guestStars
871||Mitchell Leisen|||||director
872|Back Where They Came From||'Special Edition where the Goodness Gracious Me team visit India to take an irreverant look at modern Indian society. Sketches Include:Coopers at the airportCoopers arrive in IndiaUntouchable - tableEast Eats West - sea bassCoopers - taxiDelhi Reporter - beggarsUntouchable - car bootChristianity ConversionEast Eats West - sconesCoopers - britisherDelhi Reporter - not mark tullyGuru - profileAsbestos SariUntouchable - remote controlEast Eats West - wineCoopers - curryBlame It On The Muslims/Hindus (song)Coopers - toiletMr 'Everything Comes from India' - electrics3-Legged Chicken jokeDelhi Reporter - red fortSmeeta Smitten - neetu nittyCoopers - erectionIndia's Craaaziest Drivers - scooterSquirty Flower joke, Chunky Lafunga - hero, India's Craaaziest Drivers - hornCoopers - handbagMr 'Everything Comes from India' - indiansIndia's Craaaziest Drivers - cowsCoopers - indian traditionFawlty TurretsDelhi Reporter - wellKnock-Knock jokeCoopers - white englishTaxi WashDo I Fit In? (song)Mr 'Everything Comes from India'|3.0|0.0|2001-02-19|
873||David Attenborough|||||actor
875||Keith David|||||guestStars
877||Kyle Gass|||||guestStars
878||Banksy|||||director
879|Der neue B?rgermeister||In Braunschlag geht es turbulent weiter. Dr. Feist wurde nach dem ?berfall, bei dem er angeschossen wurde, ein Bein abgenommen. Und nachdem der alte Matussek von Bauxi zerfleischt worden war, droht die Stimmung in Braunschlag endg?ltig zu kippen. Gerri ?bergibt das B?rgermeisteramt an den nun in Braunschlag sesshaft gewordenen Banyardi. Dessen Liebe, Silke, k?ndigt pl?tzlich ihren Job am Bauernhof von Gerris Mutter und geht ohne Abschied. Katzlbrunner, der Sekret?r des Landeshauptmannes, wird von Richard in seiner Disco bewusstlos geschlagen, weil er Gerri provoziert hat.|6.0|1.0|2012-10-23|
880||Geeta V. Patel|||||directors
883||Holly Wortell|||||guestStars
884||David Attenborough|||||writers
885||Nico Minardos|||||guestStars
886||Matt Reeves|||||directors
887||James Foley|||||director
888||Osamu Nabeshima|||||directors
889||Parisa Amiri|||||guestStars
890||Peter Whitney|||||guestStars
891|Kiss Tomorrow Goodbye||Hays looks back at the aftermath of the 1980 Purcell case in West Finger, AR, including possible evidence left behind at the Devil's Den, an outdoor hangout for local kids. As attention focuses on two conspicuous suspects--Brett Woodard, a solitary vet and trash collector, and Ted LaGrange, an ex-con with a penchant for children--the parents of the missing kids, Tom and Lucy Purcell, receive a cryptic note from an anonymous source.|2.0|3.0|2019-01-13|
892||Jonathan Harvey|||||writers
894||Beau James|||||guestStars
895||Rich Fulcher|||||guestStars
896||Kaarina Hazard|||||guestStars
897|Club Gyeongseong||'Oblivious to what Wong Bong has planned, high-ranking Japanese officials and Joseon aristocrats attend a party held at Club Gyeongseong, including Matsuura, who is the only one with a hunch of something big to happen. Won Bong asks Young Jin to leave Gyeongseong first and to not show up at the club. Meanwhile, Won Bong and Se Joo arm themselves with the help of Maru.|39.0|1.0|2019-07-13|
898||Jackson Publick|||||director
899||Kwon Yool|||||actor
900|Chapter 8||Frank has a library named after him at his old military school. Peter tries to win back the support of his hometown.|8.0|1.0|2013-02-01|
901||Gilbert Gottfried|||||guestStars
903||Tom Cherones|||||directors
904|Episode 3||'Sketches:Coopers at Wimbledon,Smita Smitten - No tickets,Kid's Turn,Check Please - Rose,Buddhist Pest Control,70's Quickie,Guru Doorstepper - Double glazing,The Accountant,Conservative Coopers,Masterchef,Buddhist Pharmacologist,When the Kids are Away (song),Check Please - No effort,Euromuffins,British Asian Man's Quarterly,Check Please - Vomit,Authentic Products,Buddhist Hitman.|3.0|1.0|1998-01-26|
905||||15.0|1.0|2016-12-19|
906|Northern Europe ||'The final stage of Bruce Parry's six-month journey is through Arctic Europe. He travels to a remote Russian village, deep within the vast Boreal forest that stretches for thousands of miles across the top of the world. Life here has changed little for hundreds of years, and people still depend on the food they gather from the woods that surround them.Bruce then travels north into Norway, where he lives with the Saami, reindeer herders who use snow machines, boats and even helicopters to move their animals.Bruce's last stop is a remote scientific community in the Svalbard archipelago, where he learns about the fragility of Arctic ecosystem. As the long winter night draws in, Bruce is treated to an iconic Arctic spectacle as the aurora borealis light up the night sky.|5.0|1.0|2011-02-06|
907||Stephen Gyllenhaal|||||director
908|Presenting document Microcosmos|||11.0|0.0|2013-09-18|
909||||8.0|1.0||
910|Uncle Harry's Horrible House of Horrors||During a trip to the carnival, a boy's birthday is being spoiled by his skeptical uncle, but the latter of whom soon has his views of the supernatural challenged when they take a ride through a frighteningly realistic haunted house.|12.0|2.0|1994-11-12|
912||Sharat Sardana|||||writers
913||Steve Burns|||||guestStars
916||Joanna P. Adler|||||guestStars
917||John Epps|||||guestStars
919|Feeling Tested||After learning she has a say in who replaces Garrett, Mary Jane questions Justin's overtures toward her; Kara helps Orlando in his transition from athlete to broadcaster.|20.0|4.0|2017-09-19|
920||Barry D. Bradford|||||guestStars
921||Michael Salconi|||||guestStars
923||Lilianne Montevechi|||||guestStars
924||Robin Wright|||||directors
925||Ned Glass|||||guestStars
928||Thomas Petersson|||||guestStars
929||Randall A. Anderson|||||writers
930|Namaste||Larry irks a hot yoga teacher; has an auspicious first date; and seethes over an encounter with an unfair ride-sharing driver.|7.0|9.0|2017-11-12|
932||Mel Brooks|||||guestStars
933||||2.0|1.0|2016-12-06|
934||Charmaine Shaw-Gil|||||guestStars
935||Joe Morton|||||guestStars
936|The Works...in Wax||A boy discovers that statues in his favourite wax museum come to life.|6.0|1.0|1993-10-16|
937||Melissa Greenspan|||||guestStars
938|Unbroken||When Zedd tries to save Cara who was re-broken by Darken Rahl, Richard, Kahlan and everyone else's lives are changed dramatically.|21.0|2.0|2010-05-15|
939||ZDF|||||
940||Joe Glenn|||||guestStars
941|Evil Heart: The Murder of Donna Wheeler||The bloodied, semi-naked body of 30-year-old Donna Wheeler is discovered by her estranged husband Keith Bond and 12-year-old son.  Donna had been brutally beaten and stabbed and when police investigate they discover that Donna’s estranged husband is a suspect but evidence also points to Keith’s brother Colin.  Which brother really killed Donna Wheeler? |10.0|2.0|2008-11-27|
942|Perdition||Richard's trapped in the Valley of Perdition and facing his worst fear, and the sorceress Sister Nicci is plotting to murder Kahlan. Meanwhile, Cara's feelings for the Seeker deepen. |10.0|2.0|2010-01-30|
947|Episode 2|||2.0|3.0|2000-03-03|
949||Ed Bye|||||director
951||Nicky Gaudagni|||||guestStars
952||Marie P?rennou|||||director
953|Church in Ruins||Desperate to locate a missing woman with intel on Caspere, Frank meets with Mexican drug dealers. Ani infiltrates an exclusive inner circle, with Ray and Paul keeping close tabs.|6.0|2.0|2015-07-26|
954||David Mandel|||||writers
955|Jennifer Aniston & Tila Tequila||Zach sits down with Tila Tequila who may become his new best friend and also welcomes another guest on the show who some people may recognize (Jennifer Aniston).|12.0|1.0|2011-02-07|
956|Pit Bull Sessions||Pembleton and Falsone look into the death of an elderly man who might have been killed by the pit bulls owned by his grandson. The other detectives hang out at the Waterfront and tell stories about stupid criminals they have met. The judge in the wrongful death suit of Luther Mahoney decides there is enough evidence to turn the suit into a jury trial. Kellerman suspects there might be something up, so he tries to go and see the judge.|15.0|6.0|1998-03-13|
958|Die Abenteuer des braven Soldaten Schwejk||'Schwejk is a bumbling fool (he claims to have been discharged from the army on the grounds of being a certified idiot) but manages to outwit his superiors and his arch nemesis, the secret policeman ''Bretschneider'' with hilarious results. Set during the first world war, it follow Schwejks adventures as a recruit in the Austro-Hungarian army.|||1972-02-06|
959|S-H–SHIPPING||JJ’s pressured to date a new student at school who also has cerebral palsy. Maya and Jimmy teach Ray and his girlfriend to think less. Dylan teams with Lafayette alumni to rebel against the school’s “no-prank” initiative.|6.0|2.0|2017-11-01|
960||Russell Wilson|||||guestStars
961||Kevin Dunn|||||actor
962||George Macready|||||guestStars
963||Josh Pais|||||guestStars
964||Brian Van Holt|||||guestStars
965||Susan Stroman|||||guestStars
966|Tinderbox||Hiroshi dies on the operating table. With his death, Madam Yu passes on the letter he had written to Fukuda with earnest words imploring him to protect Young Jin. Meanwhile, Daiki puts a tail on Majar that leads Matsuura right to the Heroic Corps.|35.0|1.0|2019-07-06|
968||Kathryn Klvana|||||guestStars
969||Reginald Owen|||||guestStars
971|The TiVo Guy||When Larry snubs a frightened Cheryl's phone call in favor of dealing with a TiVo repairman, she walks out on him, leaving their friends to decide which of the pair to stay true to.|7.0|6.0|2007-10-21|
972||Claude Akins|||||guestStars
973||Stuart McDonald|||||directors
974||Rachel Nash|||||guestStars
975||||12.0|1.0|2016-12-16|
976||Bill Smitrovich|||||guestStars
977|Wandering Bear||The purschasing of a video endangers Larry's relationship with his secretary, Antoinette, and almost kills Jeff and Susie's best friend.  Cheryl gets medical advice from an unorthodox source.|8.0|4.0|2004-02-29|
978|King of the Cross||Dubbed ‘Mr. Sin’, and ‘the Boss of the Cross’, Abe Saffron ruled his family with an iron fist. A tireless womaniser, he even had his son, Alan, committed to the infamous Chelmsford Psychiatric Hospital, and denied him access to his own children. Saffron’s alleged criminal activities included illegal alcohol sales, dealing in stolen goods, illegal gambling, prostitution, drug dealing, bribery, extortion and murder. Most charges laid against him involved minor firearms or liquor licensing offences but late in his life he finally served seventeen months in jail for tax evasion. He died in 2006, aged 86. |8.0|4.0|2010-12-28|
979|The Color of Comics||The rise and fall of Milestone Comics, an African-American-owned comic book imprint which came to life in early 1990s New York.|5.0|1.0|2017-12-04|
980||Elizabeth Norment|||||guestStars
981||Illeana Douglas|||||guestStars
982||Alina Foley|||||guestStars
983||Jeremy Saulnier|||||director
984|Other Lives||Ray and Frank contemplate new life choices. Ani and Paul follow a lead up the coast.|5.0|2.0|2015-07-19|
985||Erin O'Malley|||||director
986||David Redmon|||||directors
987||Joan Chen|||||guestStars
989||Rino Romano|||||guestStars
990|||||||
991||Dean Parisot|||||director
993||Jean Willes|||||guestStars
994||Ann Westin|||||guestStars
995||Jo Young-Jin|||||actor
996||Will Monahan|||||guestStars
998||Eva R?se|||||guestStars
999|Denna||Richard is captured by a Mord'Sith named Denna, who can manipulate any form of magic directed at her.|8.0|1.0|2009-01-10|
1000||Charles Parnell|||||guestStars
1001||||1.0|1.0|2016-12-05|
1002||Saul Rubinek|||||guestStars
1003|N-I–NIGHTMARE ON D-I–DIMEO STREET||The DiMeo kids mistakenly eat old Halloween candy that causes feverish dreams of horror and wish fulfillment, and Kenneth agonizes over which era of Michael Jackson to dress as for Halloween.|5.0|2.0|2017-10-25|
1005||Paul Monash|||||writers
1006|Episode 14||The F4 comes to Macau and joins Jandi. They meet Junpyo and ask why he’s ignoring Jandi, but he only says that Jandi is no longer related to him. Jandi acts as if she’s alright, but can’t stop crying in front of Jihoo who looks like understanding everything. Jihoo helps the two to meet up, but Junpyo reconfirms the end of their relationship. When Jihoo and Jandi are about to go back to Korea, they unexpectedly meet Jihoo’s friend and were invited to his house in suburbs..|14.0|1.0|2009-02-17|
1008||?? ???|||||directors
1009||Liz Cackowsiki|||||guestStars
1010||Colin Farrell|||||actor
1011|Enter! The World of the Shinigami||'Ichigo and the others enter the Soul Society after making it past the Capturing Thrust. Now they must find a way to enter the place where the shinigami live. One way to enter is to pass through the Gate of Pure Spirits. One problem though; Jidanbou, a man of Herculean strength, is guarding the entrance.|1.0|2.0|2005-03-01|
1012||Diane Baker|||||guestStars
1013|Super Rider III ~ Neko De Drive|||44.0|1.0|2008-02-03|
1014||Gary Amers|||||actor
1015||Julie London|||||guestStars
1018||Jody Warner|||||guestStars
1019||Alison Maclean|||||directors
1020|About a Woman (1) with Meeri Koutaniemi|||39.0|0.0|2013-11-20|
1021||Ken Kramer|||||guestStars
1022||Rusty Clauss|||||guestStars
1023||Lola Albright|||||guestStars
1024|The Velvet Trap|||16.0|3.0|1962-01-21|
1025|Sins of the Father||'A white man is found lynched in a historic black section of the city; Falsone and Lewis investigate. The day after Tim's dinner date with the male restaurant owner that Tim was positive about, Frank is perplexed by Tim's interest in Laura Ballard. The autopsy reveals that the hanged man was also whipped. Gharty worries about Ballard getting involved with ''''switch-hitter'''' Bayliss. Lewis is convinced the lynching is related back to the victim's Civil War ancestor, infamous runaway-slave catcher and free-blacks abductress. Tim and Laura attend an art show.|10.0|6.0|1998-01-09|
1026|Mother Of All Evils||'Barbara Mullenix, 56, and daughter Rachel, 16, move to CA. Rachael soon finds a boyfriend, Ian Allen, 21, but Barbara feels jealous and threatened, fueled by her alcoholism. While Barbara can be difficult and abusive, she and Rachael are very close. Still, in 2006, an odd ''love triangle'' develops--and since three is always a crowd--one will have to go.|10.0|1.0|2014-01-04|
1027||Uli Edel|||||director
1028||Oni Faida Lampley|||||guestStars
1029||Vikram Gandhi|||||writers
1030||John McNaughton|||||directors
1033||Craig Anton|||||guestStars
1035||Ted Demme|||||directors
1036|The Cricket and the Puppy||||||
1037|The Lepidopterists||The Monarch leads an attack on his new arch-nemesis, Dr. Jonas Venture Jr., at his base on Spider Skull Island.|10.0|3.0|2008-08-03|
1038||Hazelle Goodman|||||guestStars
1039||Paul Mazursky|||||guestStars
1040||Jorge Zamacona|||||writers
1041||Dana Ivey|||||guestStars
1042||Shawn Hatosy|||||guestStars
1043|The Anonymous Donor||It's moving day for both the Blacks and the Davids; Larry's prized Joe Pepitone jersey is lost at the dry cleaners; Larry's irked at Ted Danson's anonymous donation; Cheryl is grossed out by a semen stain on a guest-room quilt.|2.0|6.0|2007-09-16|
1044||Robert Douglas|||||guestStars
1045||Laurie Solow Miller|||||guestStars
1046||||2.0|1.0|1972-02-09|
1048|Episode 9|||9.0|2.0|2017-08-28|
1049|Sacrifice||Richard and Kahlan rescue pregnant Dennee (Kahlan's sister) from the D'Haran prison|10.0|1.0|2009-01-24|
1050|Mother of Evil||'One eyed crime matriarch Kath Pettingill mothered a brood of 10 children, many of whom variously went to early graves, prison or witness protection. She has a string of convictions and wrote an autobiography titled “The Matriarch” She is reported to have offered $20,000 for the testicles of an undercover detective who infiltrated her crime family.Her family included:DENNIS ALLEN, SON: one of the most feared drug dealers in Melbourne. Nicknamed ‘Mr. Death’ or ‘Mr. D’, he was believed to have been involved in up to 13 underworld murders including members of his own family. He’s been blamed for the dismembering of a Hells Angels biker with a chainsaw. He died in 1987, aged 35. VICTOR GEORGE PEIRCE, SON - A member notorious armed robber who was one of four men charged and acquitted of the ambush murders of two young police constables in Walsh Street, South Yarra, on October 12, 1988. At age 42, Peirce would meet his end, becoming a victim of the Gangland killings, shot dead in 2002. Pierce’s defacto, Wendy Peirce, told a newspaper in 2007 that her husband had organised the Walsh Street killings as payback for the death of his friend Graeme Jensen, who was shot dead in Narre Warren by police the day before.TREVOR PETTINGILL, SON - Born February 16, 1965, Trevor's experience of institutions began when he was six years old. He was put under state supervision because he was seen to be in moral danger. Trevor became a hardened career criminal. In 1987, with mother Kath, he pleaded guilty to heroin possession. Trevor was also charged with the murders of the two policemen in Walsh St in 1988.PETER JOHN ALLEN, SON - has multiple convictions for rape, armed robbery, drug trafficking and other offences, and spent 28 years behind bars.JASON RYAN, NEPHEW - Jason moved in with his uncle Dennis Allen during the height of his heroin empire and was apparently used as a carrier of drugs and guns. Jason became a witness for the prosecution in the trial of his uncle for the Walsh St murders.|3.0|4.0|2010-11-23|
1051||Andi Masterson|||||guestStars
1052||Jim O'Heir|||||actor
1053||Rhonda R. Overby|||||guestStars
