id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country
369||Ralph Baum||||||||||||
370||Nassim Al Fakir||||||||||||
371||Rachel Brosnahan||||||||||||
372|?????????|||13.0|1.0||||2008-08-18||2008-01-01|||
373||Paul Couch||||||||||||
374|J-I–JINGLE T-H–THON||A Christmas tree fire leads Maya to tell a small lie with big consequences. Meanwhile, Ray struggles to live in Pepper’s shadow as Dylan twists the knife, and JJ encourages Kenneth to stand up to his sisters.|8.0|3.0||||2018-12-14||2018-01-01|||
375||Edwin Hodgeman||||||||||||
376|Episode 3|||3.0|1.0||||1971-09-26||1971-01-01|||
377|Episode 2|||2.0|1.0||||1972-02-09||1972-01-01|||
378|Love & Betrayal||Love is a universal and powerful emotion. But it can also be destructive. Lust can destroy, betrayal can wound. Such an often-irrational force asks questions of any society.|4.0|1.0||||2017-12-23||2017-01-01|||
379||Jack Landry||||||||||||
380|The Desperado|||11.0|2.0||||1961-11-27||1961-01-01|||
381||Jerry Lacy||||||||||||
382||Boby Lapointe||||||||||||
383||Emiko Hiramatsu||||||||||||
384||Rob Paulsen||||||||||||
385||Andy Ackerman||||||||||||
386||Kiril Marichkov||||||||||||
387|The Hollywood Story||Madge Mason based on her prowess as a local actress in a small Iowa town goes to Hollywood and meets with only modest success but when it appears she is on verge of major success she has second thoughts about the price of fame.|20.0|1.0||||1954-01-31||1954-01-01|||
388||Marc Wootton||||||||||||
389||Williams Street||||||||||||US
390||Kevin Kline||||||||||||
391|Chapter 42||Claire joins Frank as he stumps in South Carolina, but he doesn't trust her. A disastrous scandal blindsides Frank's campaign on primary day.|3.0|4.0||||2016-03-04||2016-01-01|||
392||Anastasiya Vertinskaya||||||||||||
393||Ray Barrett||||||||||||
394||Albert Finney||||||||||||
395||Kei Haneoka||||||||||||
396||Merritt B. Gerstad||||||||||||
397||John A. Amicarella||||||||||||
398|Officer Krupke||Larry is forced to embrace his feminine side; Cheryl competes for a Seinfeld role; a law officer has an unusual name.|8.0|7.0||||2009-11-08||2009-01-01|||
399|?????????|||29.0|1.0|||||||||
400||Hermann G?ring||||||||||||
401|El Mesero Robot|||5.0|6.0||||1999-02-04||1999-01-01|||
402||Kelly Collins Lintz||||||||||||
403||Tommy Gunn||||||||||||
404|Confession||Lee Yeong, the crown prince and Ra On confuse themselves of their feeling. One day, the rumor go around about a relationship between a Eunich and a court lady. Ra On helps the people whom are involved in the rumor and she fall into danger.|7.0|1.0||||2016-09-12||2016-01-01|||
405||Hiroshi Aoyama||||||||||||
406||Oleg Strizhenov||||||||||||
407|The Next Witness||When Wolfe realizes his testimony will be used to convict a defendant he believes is innocent, he storms out of the trial in contempt of court.  With Archie at his side and Inspector Cramer on his tail, Wolfe's investigation uncovers a complicated blackmail scheme.  With the new evidence in hand, Wolfe returns to the court, much to the prosecuting attorney's annoyance.|3.0|2.0||||2002-04-21||2002-01-01|||
408|Episode 10|||10.0|2.0||||2017-08-14||2017-01-01|||
409||Milan ?im??ek||||||||||||
410|Episode 14|||14.0|1.0||||2019-05-25||2019-01-01|||
411|The Drought|||6.0|1.0||||1960-10-23||1960-01-01|||
412||Dalila Di Lazzaro||||||||||||
413||Tracy Droz Tragos||||||||||||
414||Hero Video Productions||||||||||||
415|Doomsday Seed Banker||Mike assists the Millennium Seed Bank Project, which preserves seeds that could be replanted following a catastrophic event, at the Chicago Botanic Garden.|3.0|8.0||||2011-12-27||2011-01-01|||
416|The Preliminaries|||22.0|8.0||||1961-03-19||1961-01-01|||
417||Rafail Perelstein||||||||||||
418|Dragons: Gift of the Night Fury||The Viking town of Berk, now enjoying its new alliance with the dragons, is preparing for its annual winter holiday of Snoggletog. However, that spirit is threatened when all the dragons, except Toothless who needs Hiccup to help him, suddenly fly away for some reason. While Astrid ineffectually tries to salvage the occasion, Hiccup decides to build Toothless a new prosthetic to allow him to fly independently, only to have the dragon take off as well. However, as the holiday approaches, Hiccup finds himself swept up to learn the dragons' secret the hard way and to find a solution to bring them home early.||||||2011-11-15||2011-01-01|22| Comedy|
419||Jun Fukuda||||||||||||
420||Peter Medak||||||||||||
421||Ana Bel?n||||||||||||
422||Svetlana Tormakhova||||||||||||
423|Mosquito Control Officer||Mike helps New Orleans residents restore, rebuild and revive their city in the aftermath of Hurricane Katrina.|20.0|2.0||||2006-12-19||2006-01-01|||
424||Joan Borr?s||||||||||||
425||Alan Munro||||||||||||
426||Robert Zotnowski||||||||||||
427||C. Bakaleinikoff||||||||||||
428||Marie Guillard||||||||||||
429||Jaroslav Marvan||||||||||||
430||Diagonal TV||||||||||||
431||Alan David||||||||||||
432||Tokyo MX||||||||||||JP
433||Content K||||||||||||KR
434||Anthony Eden||||||||||||
435||Luis Enrique Rold?n||||||||||||
436||Albert Banzon||||||||||||
437|The Reunion||Jeff pitches the idea of doing a Seinfeld reunion to Larry, who refuses at first, until he realizes how he could make it pay off personally.|3.0|7.0||||2009-10-04||2009-01-01|||
438|The Chase|||6.0|1.0||||1962-03-27||1962-01-01|||
439|Stag Do||Finding themselves both single, Violet and Ash consider dating new people, Violet has already met someone on the internet, while Ash's ex Chloe returns. Freddie, meanwhile, feels under pressure from Stuart to land a new acting role.|4.0|2.0||||2015-06-22||2015-01-01|||
440||Kim Joong-ki||||||||||||
441|The Silent Speaker (2)|||14.0|2.0||||2002-07-21||2002-01-01|||
442|Use Your Noodle||Jacques has spent more than forty years in the United States, but still embraces the French style of eating eggs for lunch or dinner. Bowtie Pasta with Fried Eggs and Cheese or an omelet, made side-by-side with dear friend Jean-Claude Szurdak, with a Crusty Tomato Savory is among Jacques' favorite meals. He prepares his mother's Peasant Soup, but dishes like Shrimp and Scallop Pillows on Boston Lettuce and a Grapefruit Gratin?e are all Jacques'.|21.0|1.0|||||||||
443||Lynn Hill||||||||||||
444||Joss Gower||||||||||||
445|Like a Pierrot II ~ Ottoto 9|||19.0|1.0|||||||||
446|Concrete Finisher||Mike creates some concrete counter-tops and fire pits in Moss Landing, California and then reminisces about the scariest job he's ever done.|5.0|6.0||||2010-02-02||2010-01-01|||
447|Sideshow (2)||'Danvers brings news of his appointment to the District Court bench as the investigation of a government official named Janine McBride, begun on Law & Order continues in New York. Their prime suspect, Chesley Purcell, is dead and her shooter, Ned Burks, is in the hands of the Feds. What was her connection back to Washington? Gee expresses his anger with MGee over letting his ''''ham fisted'''' bosses at the FBI know what was going on, since they in turn had informed Wm. Dell, the Independent Counsel. Burks is given a limited amount of immunity for his testimony to Dell, but McCoy and Danvers get an order that allows them to be present at his questioning; but neither the Independent Counsel nor McCoy and Danvers get anything useful. Meanwhile, the Baltimore detectives investigate the background of Chesley Purcell and it turns up the name of a man in prison who still appears to be running his organization. So there could be no more leaks, MGee asks to be kept out of the investigation. (Sideshow (1) aired on Law & Order, season 9, episode 14.)|15.0|7.0||||1999-02-19||1999-01-01|||
448||Matt Siess||||||||||||
449|Mr. Wilson's Wife: Part 2|||27.0|6.0||||1959-04-12||1959-01-01|||
450||Hakan Akol||||||||||||
451||Bobby Manila||||||||||||
452|Episode 2|||2.0|1.0||||2016-12-06||2016-01-01|||
453|Feeling Hashtagged||Mary Jane and Justin's relationship goes viral. Frank, an old family friend of Helen and Paul's, stirs long-forgotten memories of a love triangle that clouded the early years of their marriage.|15.0|4.0||||2017-08-15||2017-01-01|||
454|The Freak Book||Larry is unrattled by a book about freaks and a bad chauffeur.|5.0|6.0||||2007-10-07||2007-01-01|||
455||Michael Sussman||||||||||||
456|Tigress by the Tail||Spoiled Donna Weston wants it all but is so far in debt she can't see daylight.  Her late father once saved Stoney's life and he feels obligated to help Donna, but she's more than he can afford.|30.0|1.0||||1963-05-06||1963-01-01|||
457||Salvo Randone||||||||||||
458||Fernando Fiore||||||||||||
459||Paul Stanley||||||||||||
460||Donald Graham Burt||||||||||||
461||Takao Hasegawa||||||||||||
462||Christiane Fageol||||||||||||
463||Kiyoshi Kobayashi||||||||||||
464|Love in the Moonlight||Hong Ra On, disguises herself as a man and counsels men on dating. Due to a love letter she wrote for a client, she meets Lee Young - future Crown Prince Hyomyeong. Hong Ra On is unaware that he is the Crown Prince and Lee Young is unaware that Hong Ra On is a woman. The Crown Prince becomes interested in Hong Ra On. His eunuchs become aware of this and attempt to get Hong Ra On to become one of them.|||1.0|18.0||2016-08-22|2016-10-18|2016-01-01|60|Comedy|KR
465|Night Time Story||Angharad has left the valley to marry Iestyn Evans. Ceinwen Lloyd has taken Huw for a moonlit stroll on the mountainside. Mr Lloyd suspects the worst.|5.0|1.0||||1976-01-26||1976-01-01|||
466||Zden?k Sirov?||||||||||||
467||Ron Bartlett||||||||||||
468|Fix it, Mum and Dad||Monty thinks mums and dads can fix everything, until his tell him they won't be able to repair his broken toy helicopter.|43.0|1.0||||2017-05-03||2017-01-01|||
469||Damien Samways||||||||||||
470||George Bloomfield||||||||||||
471||Keeley Hawes||||||||||||
472||Ann Doran||||||||||||
473||Mara Brock Akil||||||||||||
474||ABC Studios||||||||||||US
475|The Ski Lift||Anticipating having to give a kidney to Richard Lewis, Larry tries to develop a contingency plan should he need a kidney donation himself. Meanwhile, a nurse claims Jeff has some shortcomings. [tv.com]|8.0|5.0||||2005-11-20||2005-01-01|||
476||Lee Wilson||||||||||||
477||Damien Wayne||||||||||||
478|Momma's Boys||Dean pays a visit to the mystery woman in his life, while Hank and Dermott play a prank on Dr. Venture which leads him on a quest to find his mystery friend and rescue him.|6.0|5.0||||2013-07-07||2013-01-01|||
479||Aleksandr Ostrovsky||||||||||||
480|The Brooch|||1.0|1.0||||1962-02-20||1962-01-01|||
481|Sigmund Freud||'With a life measured out in cigar-cutters and cocaine wraps, SigmundFreud was clearly a genius. Here was a man who looked around theworld at the start of the 20th century, saw brutal empires, millionsbeing sucked into soulless factories, impending world war, and said:“I know what causes the problems - we want to have sex with ourmothers.”Mark Steel reveals the absurdity and complexity of that genius as hetravels from Vienna to London in Freud’s wake. Our Sigmund, playedby Martin Hyder, steps out of the darkness like Harry Lime, snortscocaine like Al Pacino in Scarface, and treats his friends likeRichard Ashcroft in the video for Bittersweet Symphony.In the course of the journey, Mark is given a 'shoeing' in a Londonpub, eats a raw onion, walks with the strippers in downtown Vienna,and finds himself inside the dreamworld of David Lynch. Surely therudest, funniest lecture BBC TV has ever seen, this is the secretworld of Sigmund Freud.|3.0|1.0||||2003-10-21||2003-01-01|||
482||Zaim Muzaferija||||||||||||
483|Episode 24|||24.0|1.0||||2003-02-14||2003-01-01|||
484||Paul Stephenson||||||||||||
485||John Higgins||||||||||||
486|Remi, Nobody's Boy||Orphan Remi (13) goes on a incredible journey to find his family.|||1.0|20.0||2016-12-06|2016-12-24|2016-01-01|10|Family|NL
487|Healing Mother's Two Faces (2)|||3.0|1.0||||2017-01-21||2017-01-01|||
488||Ivan Buli?||||||||||||
489||Oleg Vidov||||||||||||
490|Animal Relocator||Mike visits an old-fashioned corn mill in De Kalb, Miss. Also, Mike helps relocate a pair of exotic deer in Wills Point, Texas.|13.0|6.0||||2010-11-09||2010-01-01|||
491||Mirjam Montandon||||||||||||
492||Michael Wearing||||||||||||
493|Shades of Gray||'A white bus driver striking a black female pedestrian sparks a riot. The driver is killed, and some distance away from the riot another body is found. MGee and Gharty look into the death of the driver while Lewis and Sheppard look into death of the other body. Lewis finds a clue at the scene, a button (later discovered to be missing from a police uniform). Gharty and MGee actively debate whether race was the motivation for the driver's beating death; MGee suspects the incident wasn't racially motivated. The bus riders are interviewed to find out what they know. Lewis and Sheppard approach a house looking for their witness (without backup). For her trouble Sheppard keeps hold of her suspect, but loses her gun and is severely beaten. Ballard is recalled from her hiking vacation. Lewis lays down the law for the residents of ''''Little Jamaica''''; he wants Sheppard's gun returned tonight. The witness Sheppard caught identifies Hellriegel as the murderer, and the men who beat the driver to death|10.0|7.0||||1999-01-08||1999-01-01|||
494||Martin R??ek||||||||||||
495|810 Franklin Street|||22.0|6.0||||1959-03-01||1959-01-01|||
496|Unpopular Mechanics||Randall, who loves to invent destructive mechanical gadgets, gets his comeuppance as his appliances suddenly turn on him.|4.0|3.0||||1999-09-30||1999-01-01|||
497||Noa Ben-Artzi||||||||||||
498||Vincent Gallo||||||||||||
499|Kelly's Place||The boys take Stoney to a fancy club for his birthday. He meets the owner and singer who is having a few problems with her boyfriend and partner. Will spending time with Stoney help put things back where they belong?|27.0|1.0||||1963-04-15||1963-01-01|||
500||Norbert Bittmann||||||||||||
501||Andrea Eliseyan||||||||||||
502|Mary Jane Knows Best|||3.0|2.0||||2015-02-17||2015-01-01|||
503||Orla Maxwell||||||||||||
504||Ivan Maisky||||||||||||
505||Jos? de Abreu||||||||||||
506|Command at Sea||Bert Elston is a former Navy man who plans to marry and settle down on a South Sea Island plantation. But Elston's dreams of domestic bliss are suddenly disturbed by memories of naval combat - Captain William Brooks, his wartime commancer appears on the scene.|33.0|2.0||||1961-06-05||1961-01-01|||
507||Tito Valverde||||||||||||
508|Episode 2|||2.0|1.0||||2018-11-30||2018-01-01|||
509||David Barrass||||||||||||
510|Episode 4|||4.0|3.0||||2015-09-30||2015-01-01|||
511||Camille Lipmann||||||||||||
512|Episode 4|||4.0|1.0||||2014-06-03||2014-01-01|||
513||Film & Sociologie||||||||||||CZ
514||James Thornton||||||||||||
515||Nicolas Economou||||||||||||
516|The Kimberley Killer||'For the first time the complete story of one of Australia's most horrific serial murderers is finally revealed.  Almost twenty years ago in June 1987 a crazed gunman begins a journey which will take him thousands of kilometres across the vast Australian outback.The killer's journey will result in the murders of five innocent tourists, spark one of the biggest manhunts in Australian history and end in a bloody last stand shootout with police at a remote outpost deep in the rugged Kimberly ranges of Australia's north. Before it is over, thousands of residents living in communities scattered across the country's Top End will be terrorised.|10.0|1.0||||2007-10-30||2007-01-01|||
517||Wayne John Haag||||||||||||
518|Do Elephants Forget?||After he forgets to do his chores and empty his lunchbox, Monty wonders if it's possible for someone to remember everything.|38.0|1.0||||2017-04-26||2017-01-01|||
519||Lynnette Cummin||||||||||||
520||Ala Dakka||||||||||||
521||John Ross Bowie||||||||||||
522||Warner Bros. Pictures||||||||||||US
523|Abandoned Mine Plugger||Mike travels to Ohio to check on the Common Tern population and then he finds himself in Northern California plugging an abandoned mineshaft.|2.0|5.0||||2009-01-13||2009-01-01|||
524|The Defense|||2.0|5.0||||1957-10-27||1957-01-01|||
525|Stop Clowning Around||Ace and Cosmo are enjoying the circus when a ceiling prop goes away, ruining the ringmaster's life. Ace goes to rescue Ace's old freind, Yokiko. The next, Ace,Yokiko, and Cosmo learned about the sabotaged equipment and implement a plan to expose the sabotager to save the circus from being closed. Only moments after the Magic Express arrives at the circus, someone taunts the elephants with mice and opens the cage causing a stampede. Yokiko and Ace rounded up the elephants in the streets of Electro City with no one getting hurt. Using a special dust on the cage door, Ace notices a large set of fingerprints which seems to belong to the strongman of the circus, Igor Strongor. Ace confronts him, but Strongor knoked himself out when he runs into a wall. Then, Ace and Cosmo overhears a conversation between Yokiko and Black Jack's lawyer, Mr. Clockwise who wants Yokiko to sell the property of the circus to let Black Jack build a new casino. When Clockwise gets Spade and Diamond to finish her,|13.0|1.0||||1999-05-22||1999-01-01|||
526||Meer Abdulla||||||||||||
527|Miss Ashley's Demon|||20.0|4.0||||1957-01-27||1957-01-01|||
528|The Death-Divers|||28.0|1.0||||1960-04-25||1960-01-01|||
529||Jean Giraud||||||||||||
530|The Christ Nail||A undergarment purchase for his housekeeper lands Larry in hot water, while his father-in-law's fondness for The Passion of the Christ comes in handy more than once.|3.0|5.0||||2005-10-09||2005-01-01|||
531||Gerd Mayen||||||||||||
532||Frances de la Tour||||||||||||
533||CBS||||||||||||US
534|Episode 19|||19.0|1.0||||2003-02-06||2003-01-01|||
535||Ivan Goncharov||||||||||||
536||Jesse Warn||||||||||||
537||George Lindsey||||||||||||
538|S-I--SICK D-A--DAY||Dylan becomes Kenneth’s replacement for JJ when Kenneth also gets sick. Jimmy ends up doing well with Maya’s normal duties, but he tries to keep it from her to avoid her feeling bad. Meanwhile, JJ protects Dylan from a boy she’s interested in. And despite its illness, the family bands together and pulls an all-nighter to finish Ray’s school project.|13.0|1.0||||2017-01-18||2017-01-01|||
539||Jacques Rey||||||||||||
540||Sabrina Reiter||||||||||||
541||Robert Aldrich||||||||||||
542||Jason Greenblum||||||||||||
543||Scott Lyons||||||||||||
544||Tom O'Sullivan||||||||||||
545||Amy Kaufman||||||||||||
546||Wowie De Guzman||||||||||||
547|Hostage (1)||Gaffney and Barnfather give Gee a hassle about the return of Frank to duty and the sudden departure of Russert to Europe. Bayliss and Munch are called to the scene of a homicide, where the victim, Mrs. Uba, was cooking breakfast and the only witness may be a male pig named Angie. Frank returns to work and Gee tells him what his limited duties are going to be and that he's called in all his favors and both their asses are on the line. The squad is called out for a hostage situation at a middle school.|1.0|5.0||||1996-09-20||1996-01-01|||
548||Peter White||||||||||||
549||Eddie Ellwood||||||||||||
550||Karel Dirka||||||||||||
551||Urvasi Theatres||||||||||||IN
552|The Bambara Bust|||8.0|1.0||||1973-12-06||1973-01-01|||
553||Brian Bedford||||||||||||
554|Chapter 18||Francis back-channels with a Chinese billionaire. Lucas uses extreme measures to expose the Vice President. A shadowy figure joins Team Underwood.|5.0|2.0||||2014-02-14||2014-01-01|||
555||Peter Markle||||||||||||
556||Craig Ferguson||||||||||||
557||Im Ye-Jin||||||||||||
558||David Prosho||||||||||||
559||Mutsuo Naganuma||||||||||||
560|A Penny a Day|||27.0|2.0||||1961-04-24||1961-01-01|||
561||Jay Tobias||||||||||||
562||Marcia Warren||||||||||||
563|Episode 5||Lucy has to decide whether to report her rape by Billy, Ged and Peter, fearing that her previous lies about Danny's involvement in the drownings could count against her. Danny tells Emma that her mother is not as saintly as she tries to make out.|5.0|2.0||||1999-02-07||1999-01-01|||
564|The Better Man||After seeing the OutRider, the man who stole his wife, pass through the Second World, Dr. Orpheus is determined to do the same. Meanwhile, Hank takes Dean to the mall to teach him how to talk to girls, and Triana has a life-altering discussion with The Master.|7.0|4.0||||2009-12-06||2009-01-01|||
565|Happy Holidays Edition||Happy Holidays from everyone at Between Two Ferns, Funny Or Die, and some special guests.|18.0|1.0||||2013-12-18||2013-01-01|||
566||Gordon Michael Woolvett||||||||||||
567||James Hambidge||||||||||||
568|Episode 7|||7.0|2.0||||2014-10-15||2014-01-01|||
569||David Coujard||||||||||||
570||Jayme Monjardim||||||||||||
571|Kolyma: Road of Bones||Kolyma is a long highway that stretches through the deepest Russian North-east. It was the epicentre of the Soviet prison camp system. Millions of people built them and lived there under the most dreadful conditions. And now the time is running short for survivors or their direct descendants to tell their story firsthand.||||||2017-11-01||2017-01-01|85|Documentary|
572|The Moorhouse Horrors / The Call Girl Killing||We investigate the story of David and Catherine Birnie, Australia's most sadistic husband and wife killing team who tortured, raped and murdered four women in 1986.  We also look into the murder of Call Girl Roslyn Watson which had remained unsolved for more than 15 years and would have stayed that way if it wasn't for the tenacious efforts of a bright young Western Australian Police Detective.|6.0|1.0||||2007-09-18||2007-01-01|||
573||Jing Lusi||||||||||||
574||John Powell||||||||||||
575||Colin Fox||||||||||||
576||Jordan Ellenberg||||||||||||
577|All Through the House||Munch spreads his usual Christmas cheer. Russert, who misses detective work, joins Meldrick on an investigation into the murder of a material witness, when she discovers she knows something about the victim's case. Munch and Bolander investigate the death of a man in a Santa Claus suit and Munch spends the evening with whom they believe is the victim's son. Beau buys Christmas presents for the kids, although he still doesn't know where Beth and the kids are. Bayliss searches the station in search of a game of hearts.|8.0|3.0||||1994-12-16||1994-01-01|||
578|Maggot Farmer|||27.0|4.0||||2008-12-02||2008-01-01|||
579|Thanks to You|||24.0|5.0||||1958-04-13||1958-01-01|||
580|Bad Program||In the Magic Express Ace is working with Angel on a hologram device to clone to create a duplicate of himself for his newest show while Cosmo is busy playing an interactive computer game that is an adults-only rated game called Raptor XII and Cosmo isn't even at age 18. When a lightning hits the train, everything shuts down including Angel. As Ace and Cosmo inspects everything they don't realize someone is in the Express. The person is Lt. Vega and Cosmo that rated AO games are strictly for adults. Vega gets a call from Ms. LeSage, but a mysterious character comes on. The mystery character kidnaps LeSage and the mysterious character was Raptor XII. Senator Dobbs is also kidnap from Raptor XII. Raptor XII is looking for a person name Major. Raptor starts programming more of himself. Ace and Cosmo managed to escaped. But Dobbs is still in trouble.|8.0|1.0||||1999-04-17||1999-01-01|||
581|Somebody Else's Dream|||15.0|4.0||||1956-12-09||1956-01-01|||
582||Jiro Sato||||||||||||
583|Natural Selection||Hank guides us through the process of natural selection, the key mechanism of evolution.|14.0|1.0||||2012-04-30||2012-01-01|||
584||Corey Stoll||||||||||||
585||Jeon Mi-seon||||||||||||
586|Episode 4|||4.0|1.0||||1980-07-14||1980-01-01|||
587|Sanctuary||Richard, Kahlan, and Zedd race to find a duplicate copy of the Book of Counted Shaddows before Darken Rahl can get his hands on it.|20.0|1.0||||2009-05-09||2009-01-01|||
588||Aidan McArdle||||||||||||
589|How I Got My Nose||Simon Doonan, now living in New York, remembers the time auditioning for the school play led to his mother being arrested for assault and the re-enactment of a famous horror film.|2.0|1.0||||2008-10-09||2008-01-01|||
590||Paul Phillips||||||||||||
591||Imanol Arias||||||||||||
592||Daniel Cattier||||||||||||
593||Afshin Azizi||||||||||||
594|I Know Why the Caged Bird Kills||The Monarch continues to rebuild his villainous empire with the aid of his shadowy new Number 2, Dr. Henry Killinger, but Henchman 21 is suspicious of the deadly foreigner's unctuous charms.  Meanwhile, as Dr. Orpheus attempts to exorcise a Japanese demon from Dr. Venture, a mysterious woman from Doc's past resurfaces.  And she'd kill to find out where Hank and Dean are.|10.0|2.0||||2006-09-24||2006-01-01|||
595||Natsuna Watanabe||||||||||||
596||Gordon Lovitt||||||||||||
597||Rebecca Hall||||||||||||
598|Lies That Seem Like The Truth||Kim Heon and his group are trying to seize Ra On so they keep chasing whereabout. Lee Yeong, the crown prince is about to marry with crown princess. Lee Yeong, the crown prince and Ra On try to abandon their love for each other.|15.0|1.0||||2016-10-10||2016-01-01|||
599|Episode 2|||2.0|4.0||||1966-03-25||1966-01-01|||
600|B-R-I-- BRITISH I-N-V-- INVASION||The family works to impress Maya's mother, who is visiting for Thanksgiving; Jimmy deals with getting older; Kenneth dreads spending the holiday with his overbearing father.|7.0|2.0||||2017-11-15||2017-01-01|||
601|Spanish on the Fly|||6.0|1.0||||2000-08-03||2000-01-01|||
602||?????? ??????||||||||||||
603|Map of the Heart||'A prominent attorney is murdered and the murderer presents himself to Pembleton and Bayliss with a videotape that implicates him. Brodie works on increasing his self-image. Kellerman is determined to find out who's the ''''lunch bandit.'''' The NSA steps in on Pembleton's murder investigation and provides him with a guilty party, even though they know he didn't do it. Bayliss' disgust with the interference doesn't sit well with Gaffney who wants to charge him with insubordination.|19.0|4.0||||1996-04-26||1996-01-01|||
604||Jerry Gracio||||||||||||
605|Landscape with a Woman||A ranger whose passion is nude painting comes to work in a remote Bosnian village. He asks the local women to pose naked for him. They are shy at first, but they eventually agree to do so. This makes their husbands furious, who think that the ranger is sleeping with their wives.||||||1989-07-25||1989-01-01|75|Drama|
606||Oko-Film||||||||||||
607||Vladimir McCrary||||||||||||
608|Crime Without Victim|||3.0|1.0||||1973-10-18||1973-01-01|||
609||Kim You-jung||||||||||||
610|Mitosis: Splitting Up is Complicated||Hank describes mitosis and cytokinesis - the series of processes our cells go through to divide into two identical copies.|12.0|1.0||||2012-04-16||2012-01-01|||
611||Lucy Allen||||||||||||
612||Austin Willows||||||||||||
613||Vatslav Dvorzhetsky||||||||||||
614|The Final Country||Following up on new leads, Wayne and Roland track down a man who left the police force in the midst of the Purcell investigation. Meanwhile, Amelia visits Lucy Purcell’s best friend in hopes of gaining insights into the whereabouts of the mysterious one-eyed man.|7.0|3.0||||2019-02-17||2019-01-01|||
615||John Day||||||||||||
616||Patrick McGinley||||||||||||
617||Riku Rantala||||||||||||
618|Episode 1||Danny is contemplating suicide after being made to feel an outcast after admitting to his wife Emma that he had been gambling again. John Fisher can no longer cope with his wife's affairs and he bludgeons her to death in the bath.|1.0|2.0||||1999-01-10||1999-01-01|||
619||Pravasandhra Chitra||||||||||||
620||John Fiedler||||||||||||
621||Anatoliy Solovyov||||||||||||
622||Aaron Marquis||||||||||||
623||Pierre Garnier||||||||||||
624||Filma-Cass||||||||||||
625||Mady Rahl||||||||||||
626||Merrick Morgan||||||||||||
627|The Truth About Wonder Woman||As comic books became popular and male superheroes rose to stardom, one man created a feminist superhero inspired by both his wife and his mistress.|2.0|1.0||||2017-11-13||2017-01-01|||
628|The Fortune Teller|||7.0|2.0||||1961-10-30||1961-01-01|||
629||Jean Boffety||||||||||||
630||Randy Krehbiel||||||||||||
631||Dean DeBlois||||||||||||
632||Achinette Villamor||||||||||||
633||Olga Gobzeva||||||||||||
634|Letter to Loretta: Laughing Boy|||12.0|1.0||||1953-12-06||1953-01-01|||
635||Tony Mooney||||||||||||
636|Fool on the Planet||Having made damage to the plant, the iron now stands up straight. Raharu tells the class that she's happily married and now pregnant. The only way to become happy is to go to the amusement park (run by Tonkichi).|5.0|2.0||||2018-06-30||2018-01-01|||
637|Extreme Unction||The church asks that the public know the details of the murders. Pembleton has an interesting time in the box with a witness who has multiple personalities and is shown to be the killer, but before he can get a confession, her lawyer arrives and later she confesses on television. Pembleton begins to question his faith. Bayliss becomes a not-so-silent partner. Beau spends some time with his family and decides to end his relationship with Megan.|3.0|3.0||||1994-10-28||1994-01-01|||
638||Stacey McKenzie||||||||||||
639||Christopher Hinton||||||||||||
640||Pat Buttram||||||||||||
641|Episode 5||When Rachel bumps into an ex-juror, she is shocked to discover that the woman had an affair with Nick in the middle of a trial - and a desperately worried Nick does everything in his power to persuade Rachel to keep the knowledge to herself. After a current investigation throws up similarities to Veronica's murder, Janet tells Geoff Hastings that they could be one step closer to bringing his sister's killer to justice. But when Rachel stumbles across some new facts in the case, she realises that Janet is in terrible danger. Can she get the information to Janet in time?|5.0|1.0||||2011-06-26||2011-01-01|||
642||Kim Woo-seok||||||||||||
643|Fungi: Death Becomes Them||Death is what fungi are all about. By feasting on the deceased remains of almost all organisms on the planet, converting the organic matter back into soil from which new life will spring, they perform perhaps the most vital function in the global food web. Fungi, which thrive on death, make all life possible.|39.0|1.0||||2012-10-22||2012-01-01|||
644||David Fincher||||||||||||
645||Lee Min-ho||||||||||||
646||Mikhail Romm||||||||||||
647||Takahiro Sakurai||||||||||||
648|Toronto|||3.0|3.0||||2016-10-10||2016-01-01|||
649|Part 1|||1.0|1.0||||2014-08-01||2014-01-01|||
650|Home||Using a rare astronomical alignment, Darken Rahl has his wizard, Giller, cast the Spell of the Lying Moon, placing Richard under a dreamlike trance, in an attempt to reveal the hidden location of the third Box of Orden.|12.0|1.0||||2009-02-21||2009-01-01|||
651||Suzanne Pleshette||||||||||||
652||F. Murray Abraham||||||||||||
653|20 Years to Midnight||In the middle of spring cleaning, Brock's discovery of a lost videotape from Jonas Venture Sr. sets Team Venture off on a global scavenger hunt for the hidden pieces of a fantastic and potentially deadly machine.  But to save humanity from a terrible fate, they'll have to overcome death, drug addiction, Jonny Quest and Professor Impossible - all under the watchful eye of the mysterious Grand Galactic Inquisitor.|5.0|2.0||||2006-08-06||2006-01-01|||
654||Milla Jovovich||||||||||||
